Team Name,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,ROW,RgRec,RgPt%
Florida Panthers*,82,47,26,9,103,.628,239,203,0.42,-0.02,.549,40,39-26-17,.579
Tampa Bay Lightning*,82,46,31,5,97,.591,227,201,0.30,-0.02,.561,43,36-31-15,.530
Detroit Red Wings*,82,41,30,11,93,.567,211,224,-0.16,0.00,.518,39,30-30-22,.500
Boston Bruins,82,42,31,9,93,.567,240,230,0.11,-0.02,.500,38,33-31-18,.512
Ottawa Senators,82,38,35,9,85,.518,236,247,-0.13,0.01,.463,32,26-35-21,.445
Montreal Canadiens,82,38,38,6,82,.500,221,236,-0.18,0.00,.451,33,30-38-14,.451
Buffalo Sabres,82,35,36,11,81,.494,201,222,-0.25,0.01,.457,33,29-36-17,.457
Toronto Maple Leafs,82,29,42,11,69,.421,198,246,-0.56,0.03,.354,23,20-42-20,.366
Washington Capitals*,82,56,18,8,120,.732,252,193,0.70,-0.02,.671,52,45-18-19,.665
Pittsburgh Penguins*,82,48,26,8,104,.634,245,203,0.50,-0.01,.585,44,38-26-18,.573
New York Rangers*,82,46,27,9,101,.616,236,217,0.24,0.01,.555,43,39-27-16,.573
New York Islanders*,82,45,27,10,100,.610,232,216,0.19,0.00,.549,40,34-27-21,.543
Philadelphia Flyers*,82,41,27,14,96,.585,214,218,-0.03,0.02,.530,38,28-27-27,.506
Carolina Hurricanes,82,35,31,16,86,.524,198,226,-0.31,0.03,.445,33,25-31-26,.463
New Jersey Devils,82,38,36,8,84,.512,184,208,-0.28,0.02,.488,36,27-36-19,.445
Columbus Blue Jackets,82,34,40,8,76,.463,219,252,-0.38,0.03,.402,28,26-40-16,.415
Dallas Stars*,82,50,23,9,109,.665,267,230,0.45,-0.01,.610,48,42-23-17,.616
St. Louis Blues*,82,49,24,9,107,.652,224,201,0.28,0.00,.591,44,36-24-22,.573
Chicago Blackhawks*,82,47,26,9,103,.628,235,209,0.32,0.00,.579,46,36-26-20,.561
Nashville Predators*,82,41,27,14,96,.585,228,215,0.17,0.01,.488,37,35-27-20,.549
Minnesota Wild*,82,38,33,11,87,.530,216,206,0.13,0.01,.457,35,34-33-15,.506
Colorado Avalanche,82,39,39,4,82,.500,216,240,-0.26,0.03,.451,35,33-39-10,.463
Winnipeg Jets,82,35,39,8,78,.476,215,239,-0.26,0.03,.427,32,29-39-14,.439
Anaheim Ducks*,82,46,25,11,103,.628,218,192,0.27,-0.05,.567,43,39-25-18,.585
Los Angeles Kings*,82,48,28,6,102,.622,225,195,0.32,-0.04,.591,46,34-28-20,.537
San Jose Sharks*,82,46,30,6,98,.598,241,210,0.33,-0.05,.555,42,37-30-15,.543
Arizona Coyotes,82,35,39,8,78,.476,209,245,-0.43,0.01,.427,34,29-39-14,.439
Calgary Flames,82,35,40,7,77,.470,231,260,-0.36,-0.01,.433,33,24-40-18,.402
Vancouver Canucks,82,31,38,13,75,.457,191,243,-0.62,0.02,.372,26,22-38-22,.402
Edmonton Oilers,82,31,43,8,70,.427,203,245,-0.51,0.00,.372,27,20-43-19,.360
