Team Name,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,ROW,RgRec,RgPt%
New York Rangers*,82,51,24,7,109,.665,226,187,0.46,-0.02,.628,47,39-24-19,.591
Pittsburgh Penguins*,82,51,25,6,108,.659,282,221,0.71,-0.03,.585,42,40-25-17,.591
Philadelphia Flyers*,82,47,26,9,103,.628,264,232,0.39,0.00,.591,43,37-26-19,.567
New Jersey Devils*,82,48,28,6,102,.622,228,209,0.23,0.00,.537,36,32-28-22,.524
New York Islanders,82,34,37,11,79,.482,203,255,-0.58,0.05,.396,27,24-37-21,.421
Boston Bruins*,Northeast Division,82,49,29,4,102,.622,269,202,0.75,-0.07,.561,40,38-29-15
Ottawa Senators*,.555,82,41,31,10,92,.561,249,240,0.09,-0.02,.488,35,30-31-21
Buffalo Sabres,.494,82,39,32,11,89,.543,218,230,-0.15,0.00,.476,32,27-32-23
Toronto Maple Leafs,.470,82,35,37,10,80,.488,231,264,-0.38,0.02,.433,31,26-37-19
Montreal Canadiens,.433,82,31,35,16,78,.476,212,226,-0.17,0.00,.421,26,24-35-23
Florida Panthers*,.433,Southeast Division,82,38,26,18,94,.573,203,227,-0.33,-0.03,.494,32
Washington Capitals*,31-26-25,.530,82,42,32,8,92,.561,222,230,-0.13,-0.03,.512,38
Tampa Bay Lightning,31-32-19,.494,82,38,36,8,84,.512,235,281,-0.57,-0.01,.463,35
Winnipeg Jets,25-36-21,.433,82,37,35,10,84,.512,225,246,-0.30,-0.04,.451,33
Carolina Hurricanes,27-35-20,.451,82,33,33,16,82,.500,213,243,-0.39,-0.02,.433,32
St. Louis Blues*,82,49,22,11,109,.665,210,165,0.54,-0.01,.634,45,42-22-18,.622
Nashville Predators*,82,48,26,8,104,.634,237,210,0.34,0.01,.585,43,40-26-16,.585
Detroit Red Wings*,82,48,28,6,102,.622,248,203,0.55,0.00,.549,39,36-28-18,.549
Chicago Blackhawks*,82,45,26,11,101,.616,248,238,0.14,0.02,.549,38,34-26-22,.549
Columbus Blue Jackets,82,29,46,7,65,.396,202,262,-0.65,0.08,.360,25,23-46-13,.360
Vancouver Canucks*,Northwest Division,82,51,22,9,111,.677,249,198,0.57,-0.05,.616,43,36-22-24
Calgary Flames,.585,82,37,29,16,90,.549,202,226,-0.28,0.01,.488,34,32-29-21
Colorado Avalanche,.518,82,41,35,6,88,.537,208,220,-0.13,0.01,.457,32,25-35-22
Minnesota Wild,.439,82,35,36,11,81,.494,177,226,-0.58,0.02,.415,24,22-36-24
Edmonton Oilers,.415,82,32,40,10,74,.451,212,239,-0.32,0.01,.402,27,25-40-17
Phoenix Coyotes*,.409,82,42,27,13,97,.591,216,204,0.16,0.01,.537,36,33-27-22
San Jose Sharks*,.537,82,43,29,10,96,.585,228,210,0.22,0.00,.500,34,31-29-22
Los Angeles Kings*,.512,82,40,27,15,95,.579,194,179,0.19,0.01,.506,34,31-27-24
Dallas Stars,.524,82,42,35,5,89,.543,211,222,-0.10,0.03,.494,35,31-35-16
Anaheim Ducks,.476,82,34,36,12,80,.488,204,231,-0.29,0.04,.439,31,29-36-17
