Year,Lg,Champion,Runner-Up,Conn Smythe
1931,NHL,Montreal Canadiens,Chicago Black Hawks,
1930,NHL,Montreal Canadiens,Boston Bruins,
1929,NHL,Boston Bruins,New York Rangers,
1928,NHL,New York Rangers,Montreal Maroons,
1927,NHL,Ottawa Senators,Boston Bruins,
1926,NHL,Montreal Maroons,Ottawa Senators,
1925,NHL,Montreal Canadiens,Hamilton Tigers,
1924,NHL,Montreal Canadiens,Ottawa Senators,
1923,NHL,Ottawa Senators,Montreal Canadiens,
1922,NHL,Toronto St. Patricks,Ottawa Senators,
1921,NHL,Ottawa Senators,Toronto St. Patricks,
1920,NHL,"No NHL playoffs.Ottawa represented NHL,def. PCHA champ Seattle for Stanley Cup.",,
1919,NHL,Montreal Canadiens,Ottawa Senators,
1918,NHL,Toronto Arenas,Montreal Canadiens,
