Team Name,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS
New York Rangers*,84,52,24,8,112,.667,299,231,0.81,0.00
New Jersey Devils*,84,47,25,12,106,.631,306,220,1.01,-0.02
Washington Capitals*,84,39,35,10,88,.524,277,263,0.20,0.03
New York Islanders*,84,36,36,12,84,.500,282,264,0.25,0.03
Florida Panthers,84,33,34,17,83,.494,233,233,0.02,0.02
Philadelphia Flyers,84,35,39,10,80,.476,294,314,-0.19,0.05
Tampa Bay Lightning,84,30,43,11,71,.423,224,251,-0.26,0.06
Pittsburgh Penguins*,Northeast Division,84,44,27,13,101,.601,299,285,0.17
Boston Bruins*,0.00,84,42,29,13,97,.577,289,252,0.41
Montreal Canadiens*,-0.03,84,41,29,14,96,.571,283,248,0.39
Buffalo Sabres*,-0.03,84,43,32,9,95,.565,282,218,0.72
Quebec Nordiques,-0.04,84,34,42,8,76,.452,277,292,-0.16
Hartford Whalers,0.02,84,27,48,9,63,.375,227,288,-0.68
Ottawa Senators,0.04,84,14,61,9,37,.220,201,397,-2.22
Detroit Red Wings*,84,46,30,8,100,.595,356,275,0.89,-0.08
Toronto Maple Leafs*,84,43,29,12,98,.583,280,243,0.41,-0.03
Dallas Stars*,84,42,29,13,97,.577,286,265,0.20,-0.05
St. Louis Blues*,84,40,33,11,91,.542,270,283,-0.16,0.00
Chicago Blackhawks*,84,39,36,9,87,.518,254,240,0.15,-0.02
Winnipeg Jets,84,24,51,9,57,.339,245,344,-1.13,0.05
Calgary Flames*,84,42,29,13,97,.577,302,256,0.48,-0.07
Vancouver Canucks*,84,41,40,3,85,.506,279,276,0.01,-0.03
San Jose Sharks*,84,33,35,16,82,.488,252,265,-0.17,-0.02
Mighty Ducks of Anaheim,84,33,46,5,71,.423,229,251,-0.27,-0.01
Los Angeles Kings,84,27,45,12,66,.393,294,322,-0.34,-0.01
Edmonton Oilers,84,25,45,14,64,.381,261,305,-0.52,0.00
