Team Name,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,ROW,RgRec,RgPt%
New Jersey Devils*,82,51,27,4,106,.646,244,209,0.38,-0.05,.598,45,36-27-19,.555
Pittsburgh Penguins*,82,45,28,9,99,.604,264,239,0.28,-0.02,.549,39,33-28-21,.530
Philadelphia Flyers*,82,44,27,11,99,.604,264,238,0.28,-0.04,.549,40,34-27-21,.543
New York Rangers*,82,43,30,9,95,.579,210,218,-0.10,-0.01,.500,33,30-30-22,.500
New York Islanders,82,26,47,9,61,.372,201,279,-0.91,0.05,.329,23,20-47-15,.335
Boston Bruins*,Northeast Division,82,53,19,10,116,.707,274,196,0.89,-0.06,.659,49,46-19-17
Montreal Canadiens*,.665,82,41,30,11,93,.567,249,247,0.02,-0.01,.500,34,30-30-22
Buffalo Sabres,.500,82,41,32,9,91,.555,250,234,0.18,-0.02,.482,33,31-32-19
Ottawa Senators,.494,82,36,35,11,83,.506,217,237,-0.23,0.01,.451,32,29-35-18
Toronto Maple Leafs,.463,82,34,35,13,81,.494,250,293,-0.49,0.03,.421,28,24-35-23
Washington Capitals*,.433,Southeast Division,82,50,24,8,108,.659,272,245,0.27,-0.06,.616,46
Carolina Hurricanes*,40-24-18,.598,82,45,30,7,97,.591,239,226,0.11,-0.05,.561,42
Florida Panthers,35-30-17,.530,82,41,30,11,93,.567,234,231,0.00,-0.04,.530,38
Atlanta Thrashers,34-30-18,.524,82,35,41,6,76,.463,257,280,-0.30,-0.02,.390,28
Tampa Bay Lightning,24-41-17,.396,82,24,40,18,66,.402,210,279,-0.81,0.03,.335,21
Detroit Red Wings*,82,51,21,10,112,.683,295,244,0.62,0.00,.610,45,42-21-19,.628
Chicago Blackhawks*,82,46,24,12,104,.634,264,216,0.60,0.01,.579,42,36-24-22,.573
St. Louis Blues*,82,41,31,10,92,.561,233,233,0.05,0.05,.500,35,31-31-20,.500
Columbus Blue Jackets*,82,41,31,10,92,.561,226,230,-0.01,0.04,.506,35,30-31-21,.494
Nashville Predators,82,40,34,8,88,.537,213,233,-0.19,0.06,.482,34,28-34-20,.463
Vancouver Canucks*,Northwest Division,82,45,27,10,100,.610,246,220,0.30,-0.02,.573,42,37-27-18
Calgary Flames*,.561,82,46,30,6,98,.598,254,248,0.07,0.00,.555,43,40-30-12
Minnesota Wild,.561,82,40,33,9,89,.543,219,200,0.22,-0.02,.476,35,32-33-17
Edmonton Oilers,.494,82,38,35,9,85,.518,234,248,-0.16,0.01,.451,32,31-35-16
Colorado Avalanche,.476,82,32,45,5,69,.421,199,257,-0.66,0.05,.360,23,20-45-17
San Jose Sharks*,.348,82,53,18,11,117,.713,257,204,0.61,-0.04,.640,47,43-18-21
Anaheim Ducks*,.652,82,42,33,7,91,.555,245,238,0.09,0.00,.488,35,30-33-19
Dallas Stars,.482,82,36,35,11,83,.506,230,257,-0.30,0.03,.439,30,25-35-22
Phoenix Coyotes,.439,82,36,39,7,79,.482,208,252,-0.50,0.04,.439,33,32-39-11
Los Angeles Kings,.457,82,34,37,11,79,.482,207,234,-0.29,0.04,.433,29,26-37-19
