Team Name,GP,W,L,T,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%
New Jersey Devils*,82,48,19,12,3,111,.677,295,195,1.10,-0.12,.659
Philadelphia Flyers*,82,43,25,11,3,100,.610,240,207,0.33,-0.07,.591
Pittsburgh Penguins*,82,42,28,9,3,96,.585,281,256,0.23,-0.07,.567
New York Rangers,82,33,43,5,1,72,.439,250,290,-0.53,-0.04,.433
New York Islanders,82,21,51,7,3,52,.317,185,268,-1.02,0.00,.299
Ottawa Senators*,Northeast Division,82,48,21,9,4,109,.665,274,205,0.74,-0.10
Buffalo Sabres*,.640,82,46,30,5,1,98,.598,218,184,0.35,-0.07
Toronto Maple Leafs*,.591,82,37,29,11,5,90,.549,232,207,0.25,-0.05
Boston Bruins,.518,82,36,30,8,8,88,.537,227,249,-0.27,0.00
Montreal Canadiens,.488,82,28,40,8,6,70,.427,206,232,-0.35,-0.03
Washington Capitals*,.390,Southeast Division,82,41,27,10,4,96,.585,233,211,0.16
Carolina Hurricanes*,-0.10,.561,82,38,32,9,3,88,.537,212,225,-0.24
Florida Panthers,-0.08,.518,82,22,38,13,9,66,.402,200,246,-0.60
Atlanta Thrashers,-0.04,.348,82,23,45,12,2,60,.366,211,289,-0.99
Tampa Bay Lightning,-0.04,.354,82,24,47,6,5,59,.360,201,280,-0.98
Detroit Red Wings*,82,49,20,9,4,111,.677,253,202,0.63,0.01,.652
St. Louis Blues*,82,43,22,12,5,103,.628,249,195,0.67,0.01,.598
Nashville Predators,82,34,36,9,3,80,.488,186,200,-0.11,0.06,.470
Chicago Blackhawks,82,29,40,8,5,71,.433,210,246,-0.36,0.08,.402
Columbus Blue Jackets,82,28,39,9,6,71,.433,190,233,-0.44,0.08,.396
Colorado Avalanche*,Northwest Division,82,52,16,10,4,118,.720,270,192,0.95,0.00
Edmonton Oilers*,.695,82,39,28,12,3,93,.567,243,222,0.32,0.07
Vancouver Canucks*,.549,82,36,28,11,7,90,.549,239,238,0.08,0.07
Calgary Flames,.506,82,27,36,15,4,73,.445,197,236,-0.37,0.11
Minnesota Wild,.421,82,25,39,13,5,68,.415,168,210,-0.42,0.09
Dallas Stars*,.384,82,48,24,8,2,106,.646,241,187,0.68,0.02
San Jose Sharks*,.634,82,40,27,12,3,95,.579,217,192,0.36,0.06
Los Angeles Kings*,.561,82,38,28,13,3,92,.561,252,228,0.32,0.03
Phoenix Coyotes,.543,82,35,27,17,3,90,.549,214,212,0.07,0.05
Mighty Ducks of Anaheim,.530,82,25,41,11,5,66,.402,188,245,-0.60,0.10
