Name,Season,Age,Tm,Lg,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TK,GV,Awards
Zach Parise,2008-09,24,NJD,NHL,82,45,49,94,30,24,31,14,0,8,30,16,3,364,12.4,544,1538,18:45,54,66,45.0,17,65,34,17,AS-2AS-10Byng-3Hart-5Selke-8
Zach Parise,2022-23,38,NYI,NHL,82,21,13,34,7,24,16,3,2,2,11,1,1,182,11.5,275,1324,16:09,11,18,37.9,83,89,18,25,
