Team Name,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,ROW,RgRec,RgPt%
Pittsburgh Penguins*,82,47,27,8,102,.622,247,216,0.24,-0.14,.555,40,39-27-16,.573
New Jersey Devils*,82,46,29,7,99,.604,206,197,0.00,-0.11,.537,38,31-29-22,.512
New York Rangers*,82,42,27,13,97,.591,213,199,0.05,-0.12,.518,34,30-27-25,.518
Philadelphia Flyers*,82,42,29,11,95,.579,248,233,0.06,-0.12,.530,39,36-29-17,.543
New York Islanders,82,35,38,9,79,.482,194,243,-0.65,-0.05,.415,30,25-38-19,.421
Montreal Canadiens*,Northeast Division,82,47,25,10,104,.634,262,222,0.35,-0.14,.579,42,37-25-20
Ottawa Senators*,.573,82,43,31,8,94,.573,261,247,0.06,-0.11,.537,40,37-31-14
Boston Bruins*,.537,82,41,29,12,94,.573,212,222,-0.20,-0.08,.506,35,32-29-21
Buffalo Sabres,.518,82,39,31,12,90,.549,255,242,0.05,-0.11,.506,35,30-31-21
Toronto Maple Leafs,.494,82,36,35,11,83,.506,231,260,-0.42,-0.06,.445,33,28-35-19
Washington Capitals*,.457,Southeast Division,82,43,31,8,94,.573,242,231,-0.06,-0.19,.524,39
Carolina Hurricanes,32-31-19,.506,82,43,33,6,92,.561,252,249,-0.15,-0.18,.530,41
Florida Panthers,36-33-13,.518,82,38,35,9,85,.518,216,226,-0.29,-0.17,.470,33
Atlanta Thrashers,29-35-18,.463,82,34,40,8,76,.463,216,272,-0.80,-0.12,.396,25
Tampa Bay Lightning,19-40-23,.372,82,31,42,9,71,.433,223,267,-0.67,-0.13,.372,29
Detroit Red Wings*,82,54,21,7,115,.701,257,184,0.93,0.04,.659,49,47-21-14,.659
Nashville Predators*,82,41,32,9,91,.555,230,229,0.13,0.12,.512,38,33-32-17,.506
Chicago Blackhawks,82,40,34,8,88,.537,239,235,0.16,0.12,.482,35,31-34-17,.482
Columbus Blue Jackets,82,34,36,12,80,.488,193,218,-0.16,0.15,.445,31,29-36-17,.457
St. Louis Blues,82,33,36,13,79,.482,205,237,-0.24,0.16,.415,30,29-36-17,.457
Minnesota Wild*,Northwest Division,82,44,28,10,98,.598,223,218,0.16,0.10,.567,41,35-28-19
Colorado Avalanche*,.543,82,44,31,7,95,.579,231,219,0.24,0.09,.512,37,33-31-18
Calgary Flames*,.512,82,42,30,10,94,.573,229,227,0.13,0.10,.512,39,36-30-16
Edmonton Oilers,.537,82,41,35,6,88,.537,235,251,-0.07,0.12,.433,26,22-35-25
Vancouver Canucks,.421,82,39,33,10,88,.537,213,215,0.08,0.11,.494,33,29-33-20
San Jose Sharks*,.476,82,49,23,10,108,.659,222,193,0.47,0.12,.598,43,40-23-19
Anaheim Ducks*,.604,82,47,27,8,102,.622,205,191,0.30,0.13,.567,39,35-27-20
Dallas Stars*,.549,82,45,30,7,97,.591,242,207,0.54,0.11,.537,40,37-30-15
Phoenix Coyotes,.543,82,38,37,7,83,.506,214,231,-0.04,0.17,.470,33,29-37-16
Los Angeles Kings,.451,82,32,43,7,71,.433,231,266,-0.24,0.19,.378,27,25-43-14
