Date,Location,Rd,Gm,Series Clinch,Name,Team,Final Score,Opp.,OTs,OT Time
1989-04-06,DET,DSF,2,,"Sutter, Duane",CHI,5-4,DET,1,14:36
1989-04-06,STL,DSF,2,,"Meagher, Rick",STL,4-3,MNS,1,5:30
1989-04-08,HAR,DSF,3,,"Richer, Stéphane",MTL,5-4,HAR,1,5:01
1989-04-08,PHI,DSF,3,,"Miller, Kelly",WSH,4-3,PHI,1,0:51
1989-04-09,HAR,DSF,4,x,"Courtnall, Russ",MTL,4-3,HAR,1,15:12
1989-04-15,CGY,DSF,7,x,"Otto, Joel",CGY,4-3,VAN,1,19:21
1989-04-18,CGY,DF,1,,"Gilmour, Doug",CGY,4-3,LAK,1,7:47
1989-04-19,MTL,DF,2,,"Smith, Bobby",MTL,3-2,BOS,1,12:24
1989-04-20,STL,DF,2,,"Hrkac, Tony",STL,5-4,CHI,2,33:49
1989-04-21,PHI,DF,3,,"Bourque, Phil",PIT,4-3,PHI,1,12:08
1989-05-08,CHI,CF,4,,"MacInnis, Al",CGY,2-1,CHI,1,15:05
1989-05-09,MTL,CF,5,,"Poulin, Dave",PHI,2-1,MTL,1,5:02
1989-05-19,MTL,F,3,,"Walter, Ryan",MTL,4-3,CGY,2,38:08
1990-04-05,NJD,DSF,1,,"Ciccarelli, Dino",WSH,5-4,NJD,1,5:34
1990-04-06,EDM,DSF,2,,"Lamb, Mark",EDM,3-2,WIN,1,4:21
1990-04-08,LAK,DSF,3,,"Granato, Tony",LAK,2-1,CGY,1,8:37
1990-04-08,TOR,DSF,3,,"Momesso, Sergio",STL,6-5,TOR,1,6:04
1990-04-09,MTL,DSF,3,,"Skrudland, Brian",MTL,2-1,BUF,1,12:35
1990-04-09,NYI,DSF,3,,"Sutter, Brent",NYI,4-3,NYR,2,20:59
1990-04-10,WIN,DSF,4,,"Ellett, Dave",WIN,4-3,EDM,2,21:08
1990-04-14,LAK,DSF,6,x,"Krushelnyski, Mike",LAK,4-3,CGY,2,23:14
1990-04-15,HAR,DSF,6,,"Dineen, Kevin",HAR,3-2,BOS,1,12:30
1990-04-21,BOS,DF,2,,"Galley, Garry",BOS,5-4,MTL,1,3:42
1990-04-24,LAK,DF,4,x,"Murphy, Joe",EDM,6-5,LAK,1,4:42
1990-04-25,WSH,DF,4,,"Langway, Rod",WSH,4-3,NYR,1,0:34
1990-04-27,NYR,DF,5,x,"Druce, John",WSH,2-1,NYR,1,6:48
1990-05-15,BOS,F,1,,"Klíma, Petr",EDM,3-2,BOS,3,55:13
1991-04-04,CHI,DSF,1,,"Propp, Brian",MNS,4-3,CHI,1,4:14
1991-04-05,PIT,DSF,2,,"Jágr, Jaromír",PIT,5-4,NJD,1,8:52
1991-04-06,LAK,DSF,2,,"Gretzky, Wayne",LAK,3-2,VAN,1,11:08
1991-04-08,VAN,DSF,3,,"Ronning, Cliff",VAN,2-1,LAK,1,3:12
1991-04-11,MTL,DSF,5,,"Courtnall, Russ",MTL,4-3,BUF,1,5:56
1991-04-11,NYR,DSF,5,,"Ciccarelli, Dino",WSH,5-4,NYR,1,6:44
1991-04-14,EDM,DSF,6,,"Fleury, Theo",CGY,2-1,EDM,1,4:40
1991-04-16,CGY,DSF,7,x,"Tikkanen, Esa",EDM,5-4,CGY,1,6:58
1991-04-18,LAK,DF,1,,"Robitaille, Luc",LAK,4-3,EDM,1,2:13
1991-04-19,BOS,DF,2,,"Richer, Stéphane",MTL,4-3,BOS,1,0:27
1991-04-19,PIT,DF,2,,"Stevens, Kevin",PIT,7-6,WSH,1,8:10
1991-04-20,LAK,DF,2,,"Klíma, Petr",EDM,4-3,LAK,2,24:48
1991-04-22,EDM,DF,3,,"Tikkanen, Esa",EDM,4-3,LAK,2,20:48
1991-04-27,MTL,DF,6,,"Corson, Shayne",MTL,3-2,BOS,1,17:47
1991-04-28,EDM,DF,6,x,"MacTavish, Craig",EDM,4-3,LAK,1,16:57
1991-05-03,BOS,CF,2,,"Růžička, Vladimír",BOS,5-4,PIT,1,8:14
1992-04-21,BOS,DSF,2,,"Oates, Adam",BOS,3-2,BUF,1,11:14
1992-04-22,MNS,DSF,3,,"Racine, Yves",DET,5-4,MNS,1,1:15
1992-04-22,STL,DSF,3,,"Hull, Brett",STL,5-4,CHI,2,23:33
1992-04-25,BUF,DSF,4,,"Donato, Ted",BOS,5-4,BUF,1,2:08
1992-04-28,MNS,DSF,6,,"Fedorov, Sergei",DET,1-0,MNS,1,16:13
1992-04-29,HAR,DSF,6,,"Corriveau, Yvon",HAR,2-1,MTL,1,0:24
1992-05-01,MTL,DSF,7,x,"Courtnall, Russ",MTL,3-2,HAR,2,25:26
1992-05-03,VAN,DF,1,,"Murphy, Joe",EDM,4-3,VAN,1,8:36
1992-05-05,MTL,DF,2,,"Douris, Peter",BOS,3-2,MTL,1,3:12
1992-05-07,PIT,DF,3,,"King, Kris",NYR,6-5,PIT,1,1:29
1992-05-09,PIT,DF,4,,"Francis, Ron",PIT,5-4,NYR,1,2:47
1992-05-17,PIT,CF,1,,"Jágr, Jaromír",PIT,4-3,BOS,1,9:44
1992-05-20,EDM,CF,3,,"Roenick, Jeremy",CHI,4-3,EDM,1,2:45
1993-04-18,BOS,DSF,1,,"Sweeney, Bob",BUF,5-4,BOS,1,11:03
1993-04-18,QUE,DSF,1,,"Young, Scott",QUE,3-2,MTL,1,16:49
1993-04-20,WSH,DSF,2,,"Mullen, Brian",NYI,5-4,WSH,2,34:50
1993-04-22,BUF,DSF,3,,"Khmylev, Yuri",BUF,4-3,BOS,1,1:05
1993-04-22,MTL,DSF,3,,"Damphousse, Vincent",MTL,2-1,QUE,1,10:30
1993-04-22,NYI,DSF,3,,"Ferraro, Ray",NYI,4-3,WSH,1,4:46
1993-04-24,BUF,DSF,4,x,"May, Brad",BUF,6-5,BOS,1,4:48
1993-04-24,NYI,DSF,4,,"Ferraro, Ray",NYI,4-3,WSH,2,25:40
1993-04-25,STL,DSF,4,x,"Janney, Craig",STL,4-3,CHI,1,10:43
1993-04-26,QUE,DSF,5,,"Muller, Kirk",MTL,5-4,QUE,1,8:17
1993-04-27,DET,DSF,5,,"Foligno, Mike",TOR,5-4,DET,1,2:05
1993-04-27,VAN,DSF,5,,"Selänne, Teemu",WIN,4-3,VAN,1,6:18
1993-04-29,WIN,DSF,6,x,"Adams, Greg",VAN,4-3,WIN,1,4:30
1993-05-01,DET,DSF,7,x,"Borschevsky, Nikolai",TOR,4-3,DET,1,2:35
1993-05-03,TOR,DF,1,,"Gilmour, Doug",TOR,2-1,STL,2,23:16
1993-05-04,MTL,DF,2,,"Carbonneau, Guy",MTL,4-3,BUF,1,2:50
1993-05-05,TOR,DF,2,,"Brown, Jeff",STL,2-1,TOR,2,23:03
1993-05-06,BUF,DF,3,,"Dionne, Gilbert",MTL,4-3,BUF,1,8:28
1993-05-08,BUF,DF,4,x,"Muller, Kirk",MTL,4-3,BUF,1,11:37
1993-05-11,VAN,DF,5,,"Shuchuk, Gary",LAK,4-3,VAN,2,26:31
1993-05-14,PIT,DF,7,x,"Volek, David",NYI,4-3,PIT,1,5:16
1993-05-18,MTL,CF,2,,"Lebeau, Stéphan",MTL,4-3,NYI,2,26:21
1993-05-20,NYI,CF,3,,"Carbonneau, Guy",MTL,2-1,NYI,1,12:34
1993-05-25,TOR,CF,5,,"Anderson, Glenn",TOR,3-2,LAK,1,19:20
1993-05-27,LAK,CF,6,,"Gretzky, Wayne",LAK,5-4,TOR,1,1:41
1993-06-03,MTL,F,2,,"Desjardins, Éric",MTL,3-2,LAK,1,0:51
1993-06-05,LAK,F,3,,"LeClair, John",MTL,4-3,LAK,1,0:34
1993-06-07,LAK,F,4,,"LeClair, John",MTL,3-2,LAK,1,14:37
1994-04-20,TOR,CQF,2,,"Gill, Todd",TOR,1-0,CHI,1,2:15
1994-04-22,STL,CQF,3,,"Cavallini, Paul",DAL,5-4,STL,1,8:34
1994-04-24,CHI,CQF,4,,"Roenick, Jeremy",CHI,4-3,TOR,1,1:23
1994-04-25,BOS,CQF,5,,"Muller, Kirk",MTL,2-1,BOS,1,17:18
1994-04-26,CGY,CQF,5,,"Courtnall, Geoff",VAN,2-1,CGY,1,7:15
1994-04-27,BUF,CQF,6,,"Hannan, Dave",BUF,1-0,NJD,4,65:43
1994-04-28,VAN,CQF,6,,"Linden, Trevor",VAN,3-2,CGY,1,16:43
1994-04-30,CGY,CQF,7,x,"Bure, Pavel",VAN,4-3,CGY,2,22:20
1994-05-03,NJD,CSF,2,,"Sweeney, Don",BOS,6-5,NJD,1,9:08
1994-05-07,BOS,CSF,4,,"Richer, Stéphane",NJD,5-4,BOS,1,14:19
1994-05-08,VAN,CSF,4,,"Momesso, Sergio",VAN,2-1,DAL,1,11:01
1994-05-12,TOR,CSF,6,,"Gartner, Mike",TOR,3-2,SJS,1,8:53
1994-05-15,NYR,CF,1,,"Richer, Stéphane",NJD,4-3,NYR,2,35:23
1994-05-16,TOR,CF,1,,"Zezel, Peter",TOR,3-2,VAN,1,16:55
1994-05-19,NJD,CF,3,,"Matteau, Stéphane",NYR,3-2,NJD,2,26:13
1994-05-24,VAN,CF,5,x,"Adams, Greg",VAN,4-3,TOR,2,20:14
1994-05-27,NYR,CF,7,x,"Matteau, Stéphane",NYR,2-1,NJD,2,24:24
1994-05-31,NYR,F,1,,"Adams, Greg",VAN,3-2,NYR,1,19:26
1995-05-07,PHI,CQF,1,,"Dykhuis, Karl",PHI,4-3,BUF,1,10:06
1995-05-09,CGY,CQF,2,,"Dahlén, Ulf",SJS,5-4,CGY,1,12:21
1995-05-12,NJD,CQF,4,,"McKay, Randy",NJD,1-0,BOS,1,8:51
1995-05-12,NYR,CQF,4,,"Larmer, Steve",NYR,3-2,QUE,1,8:09
1995-05-14,PIT,CQF,5,,"Robitaille, Luc",PIT,6-5,WSH,1,4:30
1995-05-15,STL,CQF,5,,"Ronning, Cliff",VAN,6-5,STL,1,1:48
1995-05-17,TOR,CQF,6,,"Wood, Randy",TOR,5-4,CHI,1,10:00
1995-05-19,CGY,CQF,7,x,"Whitney, Ray",SJS,5-4,CGY,2,21:54
1995-05-21,CHI,CSF,1,,"Murphy, Joe",CHI,2-1,VAN,1,9:04
1995-05-21,PHI,CSF,1,,"Desjardins, Éric",PHI,5-4,NYR,1,7:03
1995-05-22,PHI,CSF,2,,"Haller, Kevin",PHI,4-3,NYR,1,0:25
1995-05-25,VAN,CSF,3,,"Chelios, Chris",CHI,3-2,VAN,1,6:22
1995-05-26,NJD,CSF,4,,"Broten, Neal",NJD,2-1,PIT,1,18:36
1995-05-27,VAN,CSF,4,x,"Chelios, Chris",CHI,4-3,VAN,1,5:35
1995-06-01,DET,CF,1,,"Lidström, Nicklas",DET,2-1,CHI,1,1:01
1995-06-06,CHI,CF,3,,"Konstantinov, Vladimir",DET,4-3,CHI,2,29:25
1995-06-07,NJD,CF,3,,"Lindros, Eric",PHI,3-2,NJD,1,4:19
1995-06-11,DET,CF,5,x,"Kozlov, Vyacheslav",DET,2-1,CHI,2,22:25
1996-04-16,NYR,CQF,1,,"Damphousse, Vincent",MTL,3-2,NYR,1,5:04
1996-04-18,PHI,CQF,2,,"Bellows, Brian",TBL,2-1,PHI,1,9:05
1996-04-18,TOR,CQF,2,,"Sundin, Mats",TOR,5-4,STL,1,4:02
1996-04-21,STL,CQF,3,,"Anderson, Glenn",STL,3-2,TOR,1,1:24
1996-04-21,TBL,CQF,3,,"Selivanov, Alexander",TBL,5-4,PHI,1,2:04
1996-04-23,CGY,CQF,4,x,"Murphy, Joe",CHI,2-1,CGY,3,50:02
1996-04-24,WSH,CQF,4,,"Nedvěd, Petr",PIT,3-2,WSH,4,79:15
1996-04-25,COL,CQF,5,,"Sakic, Joe",COL,5-4,VAN,1,0:51
1996-04-25,TOR,CQF,5,,"Gartner, Mike",TOR,5-4,STL,1,7:31
1996-05-02,COL,CSF,1,,"Roenick, Jeremy",CHI,3-2,COL,1,6:29
1996-05-06,CHI,CSF,3,,"Krivokrasov, Sergei",CHI,4-3,COL,1,0:46
1996-05-08,CHI,CSF,4,,"Sakic, Joe",COL,3-2,CHI,3,44:33
1996-05-08,STL,CSF,3,,"Kravchuk, Igor",STL,5-4,DET,1,3:23
1996-05-09,FLA,CSF,4,,"Lowry, Dave",FLA,4-3,PHI,1,4:06
1996-05-12,PHI,CSF,5,,"Hough, Mike",FLA,2-1,PHI,2,28:05
1996-05-13,CHI,CSF,6,x,"Ozoliņš, Sandis",COL,4-3,CHI,2,25:18
1996-05-16,DET,CSF,7,x,"Yzerman, Steve",DET,1-0,STL,2,21:15
1996-05-19,DET,CF,1,,"Keane, Mike",COL,3-2,DET,1,17:31
1996-06-10,FLA,F,4,x,"Krupp, Uwe",COL,1-0,FLA,3,44:31
1997-04-20,CHI,CQF,3,,"Krivokrasov, Sergei",CHI,4-3,COL,2,31:03
1997-04-20,EDM,CQF,3,,"Buchberger, Kelly",EDM,4-3,DAL,1,9:15
1997-04-22,NYR,CQF,3,,"Tikkanen, Esa",NYR,4-3,FLA,1,16:29
1997-04-23,OTT,CQF,4,,"Alfredsson, Daniel",OTT,1-0,BUF,1,2:34
1997-04-24,MTL,CQF,4,,"Brisebois, Patrice",MTL,4-3,NJD,3,47:37
1997-04-25,DAL,CQF,5,,"Smyth, Ryan",EDM,1-0,DAL,2,20:22
1997-04-25,FLA,CQF,5,x,"Tikkanen, Esa",NYR,3-2,FLA,1,12:02
1997-04-27,PHX,CQF,6,,"Kariya, Paul",MDA,3-2,PHX,1,7:29
1997-04-29,BUF,CQF,7,x,"Plante, Derek",BUF,3-2,OTT,1,5:24
1997-04-29,DAL,CQF,7,x,"Marchant, Todd",EDM,4-3,DAL,1,12:26
1997-05-02,DET,CSF,1,,"Lapointe, Martin",DET,2-1,MDA,1,0:59
1997-05-04,DET,CSF,2,,"Kozlov, Vyacheslav",DET,3-2,MDA,3,41:31
1997-05-08,MDA,CSF,4,x,"Shanahan, Brendan",DET,3-2,MDA,2,37:03
1997-05-09,EDM,CSF,4,,"Lemieux, Claude",COL,3-2,EDM,1,8:35
1997-05-09,PHI,CSF,4,,"Ronan, Ed",BUF,5-4,PHI,1,6:24
1997-05-11,NJD,CSF,5,x,"Graves, Adam",NYR,2-1,NJD,1,14:08
1998-04-22,NJD,CQF,1,,"Gardiner, Bruce",OTT,2-1,NJD,1,5:58
1998-04-23,PIT,CQF,1,,"Brunet, Benoît",MTL,3-2,PIT,1,18:43
1998-04-24,WSH,CQF,2,,"Van Impe, Darren",BOS,4-3,WSH,2,20:54
1998-04-26,BOS,CQF,3,,"Juneau, Joé",WSH,3-2,BOS,2,26:31
1998-04-26,EDM,CQF,3,,"Sakic, Joe",COL,5-4,EDM,1,15:25
1998-04-26,OTT,CQF,3,,"Yashin, Alexei",OTT,2-1,NJD,1,2:47
1998-04-28,SJS,CQF,4,,"Zyuzin, Andrei",SJS,1-0,DAL,1,6:31
1998-05-01,PHI,CQF,5,x,"Grošek, Michal",BUF,3-2,PHI,1,5:40
1998-05-02,SJS,CQF,6,x,"Keane, Mike",DAL,3-2,SJS,1,3:43
1998-05-03,BOS,CQF,6,x,"Bellows, Brian",WSH,3-2,BOS,1,15:24
1998-05-08,BUF,CSF,1,,"Sanderson, Geoff",BUF,3-2,MTL,1,2:37
1998-05-11,EDM,CSF,3,,"Hogue, Benoît",DAL,1-0,EDM,1,13:07
1998-05-12,MTL,CSF,3,,"Peca, Michael",BUF,5-4,MTL,2,21:24
1998-05-12,STL,CSF,3,,"Shanahan, Brendan",DET,3-2,STL,2,31:12
1998-05-25,WSH,CF,2,,"Krygier, Todd",WSH,3-2,BUF,1,3:01
1998-05-28,BUF,CF,3,,"Bondra, Peter",WSH,4-3,BUF,1,9:37
1998-06-03,DAL,CF,5,,"Langenbrunner, Jamie",DAL,3-2,DET,1,0:46
1998-06-04,BUF,CF,6,x,"Juneau, Joé",WSH,3-2,BUF,1,6:24
1998-06-11,DET,F,2,,"Draper, Kris",DET,5-4,WSH,1,15:24
1999-04-23,OTT,CQF,2,,"Šatan, Miroslav",BUF,3-2,OTT,2,30:35
1999-04-24,CAR,CQF,2,,"Sheppard, Ray",CAR,3-2,BOS,1,17:05
1999-04-24,PHX,CQF,2,,"Doan, Shane",PHX,4-3,STL,1,8:58
1999-04-26,SJS,CQF,2,,"Hejduk, Milan",COL,2-1,SJS,1,7:53
1999-04-27,EDM,CQF,4,x,"Nieuwendyk, Joe",DAL,3-2,EDM,3,57:34
1999-04-30,CAR,CQF,5,,"Carter, Anson",BOS,4-3,CAR,2,34:45
1999-04-30,PHX,CQF,5,,"Young, Scott",STL,2-1,PHX,1,5:43
1999-04-30,Toronto,CQF,5,,"Perreault, Yanic",TOR,2-1,PHI,1,11:51
1999-05-02,PIT,CQF,6,,"Jágr, Jaromír",PIT,3-2,NJD,1,8:59
1999-05-03,SJS,CQF,6,x,"Hejduk, Milan",COL,3-2,SJS,1,13:12
1999-05-04,PHX,CQF,7,x,"Turgeon, Pierre",STL,1-0,PHX,1,17:59
1999-05-07,COL,CSF,1,,"Maltby, Kirk",DET,3-2,COL,1,4:18
1999-05-08,DAL,CSF,2,,"Nieuwendyk, Joe",DAL,5-4,STL,1,8:22
1999-05-10,STL,CSF,3,,"Demitra, Pavol",STL,3-2,DAL,1,2:43
1999-05-12,STL,CSF,4,,"Turgeon, Pierre",STL,3-2,DAL,1,5:52
1999-05-13,PIT,CSF,4,,"Berezin, Sergei",TOR,3-2,PIT,1,2:18
1999-05-17,PIT,CSF,6,x,"Valk, Garry",TOR,4-3,PIT,1,1:57
1999-05-17,STL,CSF,6,x,"Modano, Mike",DAL,2-1,STL,1,2:21
1999-05-28,COL,CF,4,,"Drury, Chris",COL,3-2,DAL,1,19:29
1999-06-08,DAL,F,1,,"Woolley, Jason",BUF,3-2,DAL,1,15:30
1999-06-19,BUF,F,6,x,"Hull, Brett",DAL,2-1,BUF,3,54:51
2000-04-15,PIT,CQF,2,,"Jágr, Jaromír",PIT,2-1,WSH,1,5:49
2000-04-18,BUF,CQF,4,,"Barnes, Stu",BUF,3-2,PHI,1,4:42
2000-04-22,TOR,CQF,5,,"Thomas, Steve",TOR,2-1,OTT,1,14:47
2000-05-02,PIT,CSF,3,,"Delmore, Andy",PHI,4-3,PIT,1,11:01
2000-05-03,DET,CSF,4,,"Drury, Chris",COL,3-2,DET,1,10:21
2000-05-04,PIT,CSF,4,,"Primeau, Keith",PHI,2-1,PIT,5,92:01
2000-05-23,DAL,CF,5,,"Nieuwendyk, Joe",DAL,3-2,COL,1,12:10
2000-06-08,NJD,F,5,,"Modano, Mike",DAL,1-0,NJD,3,46:21
2000-06-10,DAL,F,6,x,"Arnott, Jason",NJD,2-1,DAL,2,28:20
2001-04-11,DAL,CQF,1,,"Langenbrunner, Jamie",DAL,2-1,EDM,1,2:08
2001-04-13,OTT,CQF,1,,"Sundin, Mats",TOR,1-0,OTT,1,10:49
2001-04-14,PHI,CQF,2,,"McKee, Jay",BUF,4-3,PHI,1,18:02
2001-04-15,EDM,CQF,3,,"Hogue, Benoît",DAL,3-2,EDM,1,19:48
2001-04-16,TOR,CQF,3,,"Cross, Cory",TOR,3-2,OTT,1,2:16
2001-04-16,VAN,CQF,3,,"Forsberg, Peter",COL,4-3,VAN,1,2:50
2001-04-17,BUF,CQF,4,,"Brown, Curtis",BUF,4-3,PHI,1,6:13
2001-04-17,EDM,CQF,4,,"Comrie, Mike",EDM,2-1,DAL,1,17:19
2001-04-18,CAR,CQF,4,,"Brind'Amour, Rod",CAR,3-2,NJD,1,0:46
2001-04-18,LAK,CQF,4,,"Bélanger, Éric",LAK,4-3,DET,1,2:36
2001-04-18,PIT,CQF,4,,"Halpern, Jeff",WSH,4-3,PIT,1,4:01
2001-04-19,DAL,CQF,5,,"Muller, Kirk",DAL,4-3,EDM,1,8:01
2001-04-19,STL,CQF,5,,"Salvador, Bryce",STL,3-2,SJS,1,9:54
2001-04-23,LAK,CQF,6,x,"Deadmarsh, Adam",LAK,3-2,DET,1,4:48
2001-04-23,PIT,CQF,6,x,"Straka, Martin",PIT,4-3,WSH,1,13:04
2001-04-26,COL,CSF,1,,"Modrý, Jaroslav",LAK,4-3,COL,1,14:23
2001-04-28,NJD,CSF,2,,"McKay, Randy",NJD,6-5,TOR,1,5:31
2001-05-01,STL,CSF,3,,"Stillman, Cory",STL,3-2,DAL,2,29:26
2001-05-01,TOR,CSF,3,,"Rafalski, Brian",NJD,3-2,TOR,1,7:00
2001-05-05,BUF,CSF,5,,"Barnes, Stu",BUF,3-2,PIT,1,8:34
2001-05-06,LAK,CSF,6,,"Murray, Glen",LAK,1-0,COL,2,22:41
2001-05-08,PIT,CSF,6,,"Straka, Martin",PIT,3-2,BUF,1,11:29
2001-05-10,BUF,CSF,7,x,"Kasparaitis, Darius",PIT,3-2,BUF,1,13:01
2001-05-16,STL,CF,3,,"Young, Scott",STL,4-3,COL,2,30:27
2001-05-18,STL,CF,4,,"Yelle, Stéphane",COL,4-3,STL,1,4:23
2001-05-21,COL,CF,5,x,"Sakic, Joe",COL,2-1,STL,1,0:24
2002-04-17,DET,CQF,1,,"Sedin, Henrik",VAN,4-3,DET,1,13:59
2002-04-17,PHI,CQF,1,,"Fedotenko, Ruslan",PHI,1-0,OTT,1,7:47
2002-04-19,CAR,CQF,2,,"Battaglia, Bates",CAR,2-1,NJD,1,15:26
2002-04-24,CAR,CQF,5,,"Vašíček, Josef",CAR,3-2,NJD,1,8:16
2002-04-25,COL,CQF,5,,"Johnson, Craig",LAK,1-0,COL,1,2:19
2002-04-26,PHI,CQF,5,x,"Havlát, Martin",OTT,2-1,PHI,1,7:33
2002-05-04,TOR,CSF,2,,"Roberts, Gary",TOR,3-2,OTT,3,44:30
2002-05-07,MTL,CSF,3,,"Audette, Donald",MTL,2-1,CAR,1,2:26
2002-05-09,MTL,CSF,4,,"Wallin, Niclas",CAR,4-3,MTL,1,3:14
2002-05-13,SJS,CSF,6,,"Forsberg, Peter",COL,2-1,SJS,1,2:47
2002-05-19,CAR,CF,2,,"Wallin, Niclas",CAR,2-1,TOR,1,13:42
2002-05-20,DET,CF,2,,"Drury, Chris",COL,4-3,DET,1,2:17
2002-05-21,TOR,CF,3,,"O'Neill, Jeff",CAR,2-1,TOR,1,6:01
2002-05-22,COL,CF,3,,"Olausson, Fredrik",DET,2-1,COL,1,12:44
2002-05-27,DET,CF,5,,"Forsberg, Peter",COL,2-1,DET,1,6:24
2002-05-28,TOR,CF,6,x,"Gélinas, Martin",CAR,2-1,TOR,1,8:05
2002-06-04,DET,F,1,,"Francis, Ron",CAR,3-2,DET,1,0:58
2002-06-08,CAR,F,3,,"Larionov, Igor",DET,3-2,CAR,3,54:47
2003-04-10,DET,CQF,1,,"Kariya, Paul",MDA,2-1,DET,3,43:18
2003-04-14,NYI,CQF,3,,"White, Todd",OTT,3-2,NYI,2,22:25
2003-04-14,TOR,CQF,3,,"Kaberle, Tomáš",TOR,4-3,PHI,2,27:20
2003-04-15,WSH,CQF,3,,"Lecavalier, Vincent",TBL,4-3,WSH,1,2:29
2003-04-16,MDA,CQF,4,x,"Rucchin, Steve",MDA,3-2,DET,1,6:53
2003-04-16,TOR,CQF,4,,"Recchi, Mark",PHI,3-2,TOR,3,53:54
2003-04-20,WSH,CQF,6,x,"St. Louis, Martin",TBL,2-1,WSH,3,44:03
2003-04-21,MIN,CQF,6,,"Park, Richard",MIN,3-2,COL,1,4:22
2003-04-21,TOR,CQF,6,,"Green, Travis",TOR,2-1,PHI,2,30:51
2003-04-22,COL,CQF,7,x,"Brunette, Andrew",MIN,3-2,COL,1,3:25
2003-04-24,DAL,CSF,1,,"Sýkora, Petr",MDA,4-3,DAL,5,80:48
2003-04-25,VAN,CSF,1,,"Klatt, Trent",VAN,4-3,MIN,1,3:42
2003-04-26,DAL,CSF,2,,"Leclerc, Mike",MDA,3-2,DAL,1,1:44
2003-04-26,NJD,CSF,2,,"Langenbrunner, Jamie",NJD,3-2,TBL,1,2:09
2003-04-29,PHI,CSF,3,,"Redden, Wade",OTT,3-2,PHI,1,6:43
2003-05-02,MIN,CSF,4,,"Sopel, Brent",VAN,3-2,MIN,1,15:52
2003-05-02,NJD,CSF,5,x,"Marshall, Grant",NJD,2-1,TBL,3,51:12
2003-05-10,MIN,CF,1,,"Sýkora, Petr",MDA,1-0,MIN,2,28:06
2003-05-10,OTT,CF,1,,"Van Allen, Shaun",OTT,3-2,NJD,1,3:08
2003-05-21,NJD,CF,6,,"Phillips, Chris",OTT,2-1,NJD,1,15:51
2003-05-31,MDA,F,3,,"Salei, Ruslan",MDA,3-2,NJD,1,6:59
2003-06-02,MDA,F,4,,"Thomas, Steve",MDA,1-0,NJD,1,0:39
2004-04-08,SJS,CQF,1,,"Dimitrakos, Niko",SJS,1-0,STL,1,9:16
2004-04-09,BOS,CQF,2,,"Bergeron, Patrice",BOS,2-1,MTL,1,1:26
2004-04-12,DAL,CQF,3,,"Ott, Steve",DAL,4-3,COL,1,2:11
2004-04-13,MTL,CQF,4,,"Murray, Glen",BOS,4-3,MTL,2,29:27
2004-04-14,DAL,CQF,4,,"Svatoš, Marek",COL,3-2,DAL,2,25:21
2004-04-16,TBL,CQF,5,x,"St. Louis, Martin",TBL,3-2,NYI,1,4:07
2004-04-17,CGY,CQF,6,,"Morrison, Brendan",VAN,5-4,CGY,3,42:28
2004-04-18,OTT,CQF,6,,"Fisher, Mike",OTT,2-1,TOR,2,21:47
2004-04-19,VAN,CQF,7,x,"Gélinas, Martin",CGY,3-2,VAN,1,1:25
2004-04-22,DET,CSF,1,,"Nilson, Marcus",CGY,2-1,DET,1,2:39
2004-04-27,MTL,CSF,3,,"Richards, Brad",TBL,4-3,MTL,1,1:05
2004-04-28,COL,CSF,4,,"Sakic, Joe",COL,1-0,SJS,1,5:15
2004-05-01,SJS,CSF,5,,"Sakic, Joe",COL,2-1,SJS,1,1:54
2004-05-03,CGY,CSF,6,x,"Gélinas, Martin",CGY,1-0,DET,1,19:13
2004-05-04,TOR,CSF,6,x,"Roenick, Jeremy",PHI,3-2,TOR,1,7:39
2004-05-09,SJS,CF,1,,"Montador, Steve",CGY,4-3,SJS,1,18:43
2004-05-20,PHI,CF,6,,"Gagné, Simon",PHI,5-4,TBL,1,18:18
2004-06-03,TBL,F,5,,"Saprykin, Oleg",CGY,3-2,TBL,1,14:40
2004-06-05,CGY,F,6,,"St. Louis, Martin",TBL,3-2,CGY,2,20:33
2006-04-21,CGY,CQF,1,,"McCarty, Darren",CGY,2-1,MDA,1,9:45
2006-04-21,DET,CQF,1,,"Maltby, Kirk",DET,3-2,EDM,2,22:39
2006-04-22,BUF,CQF,1,,"Brière, Daniel",BUF,3-2,PHI,2,27:31
2006-04-24,CAR,CQF,2,,"Ryder, Michael",MTL,6-5,CAR,2,22:32
2006-04-24,DAL,CQF,2,,"Sakic, Joe",COL,5-4,DAL,1,4:36
2006-04-25,EDM,CQF,3,,"Stoll, Jarret",EDM,4-3,DET,2,28:44
2006-04-26,COL,CQF,3,,"Tanguay, Alex",COL,4-3,DAL,1,1:09
2006-04-26,MTL,CQF,3,,"Staal, Eric",CAR,2-1,MTL,1,3:38
2006-04-27,MDA,CQF,4,,"O'Donnell, Sean",MDA,3-2,CGY,1,1:36
2006-04-30,DAL,CQF,5,x,"Brunette, Andrew",COL,3-2,DAL,1,13:55
2006-05-02,MTL,CQF,6,x,"Stillman, Cory",CAR,2-1,MTL,1,1:19
2006-05-05,OTT,CSF,1,,"Drury, Chris",BUF,7-6,OTT,1,0:18
2006-05-08,CAR,CSF,2,,"Wallin, Niclas",CAR,3-2,NJD,1,3:09
2006-05-09,COL,CSF,3,,"Lupul, Joffrey",MDA,4-3,COL,1,16:30
