Date,Location,Rd,Gm,Series Clinch,Name,Team,Final Score,Opp.,OTs,OT Time
1947-03-26,TOR,SF,1,,"Meeker, Howie",TOR,3-2,DET,1,3:05
1947-03-27,MTL,SF,2,,"Mosdell, Ken",MTL,2-1,BOS,1,5:38
1947-04-03,MTL,SF,5,x,"Quilty, John",MTL,4-3,BOS,2,36:40
1947-04-15,TOR,F,4,,"Apps, Syl",TOR,2-1,MTL,1,16:36
1948-03-24,TOR,SF,1,,"Metz, Nick",TOR,5-4,BOS,1,17:03
1949-03-22,DET,SF,1,,"McNab, Max",DET,2-1,MTL,3,44:52
1949-03-24,DET,SF,2,,"Plamondon, Gerry",MTL,4-3,DET,1,2:59
1949-03-26,TOR,SF,3,,"Dumart, Woody",BOS,5-4,TOR,1,16:14
1949-04-08,DET,F,1,,"Klukay, Joe",TOR,3-2,DET,1,17:31
1950-04-04,MTL,SF,4,,"Lach, Elmer",MTL,3-2,NYR,1,15:19
1950-04-04,TOR,SF,4,,"Reise, Leo",DET,2-1,TOR,2,20:38
1950-04-09,DET,SF,7,x,"Reise, Leo",DET,1-0,TOR,1,8:39
1950-04-18,DET,F,4,,"Raleigh, Don",NYR,4-3,DET,1,8:34
1950-04-20,DET,F,5,,"Raleigh, Don",NYR,2-1,DET,1,1:38
1950-04-23,DET,F,7,x,"Babando, Pete",DET,4-3,NYR,2,28:31
1951-03-27,DET,SF,1,,"Richard, Maurice",MTL,3-2,DET,4,61:09
1951-03-29,DET,SF,2,,"Richard, Maurice",MTL,1-0,DET,3,42:20
1951-04-11,TOR,F,1,,"Smith, Sid",TOR,3-2,MTL,1,5:51
1951-04-14,TOR,F,2,,"Richard, Maurice",MTL,3-2,TOR,1,2:55
1951-04-17,MTL,F,3,,"Kennedy, Ted",TOR,2-1,MTL,1,4:47
1951-04-19,MTL,F,4,,"Watson, Harry",TOR,3-2,MTL,1,5:15
1951-04-21,TOR,F,5,x,"Barilko, Bill",TOR,3-2,MTL,1,2:53
1952-04-06,BOS,SF,6,,"Masnick, Paul",MTL,3-2,BOS,2,27:49
1953-03-29,BOS,SF,3,,"McIntyre, Jack",BOS,2-1,DET,1,12:29
1953-03-29,CBH,SF,3,,"Dewsbury, Al",CBH,2-1,MTL,1,5:18
1953-04-16,MTL,F,5,x,"Lach, Elmer",MTL,1-0,BOS,1,1:22
1954-04-01,DET,SF,5,x,"Lindsay, Ted",DET,4-3,TOR,2,21:01
1954-04-11,DET,F,5,,"Mosdell, Ken",MTL,1-0,DET,1,5:45
1954-04-16,DET,F,7,x,"Leswick, Tony",DET,2-1,MTL,1,4:29
1955-03-29,BOS,SF,4,,"Marshall, Don",MTL,4-3,BOS,1,3:05
1956-03-24,TOR,SF,3,,"Lindsay, Ted",DET,5-4,TOR,1,4:22
1957-03-28,NYR,SF,2,,"Hebenton, Andy",NYR,4-3,MTL,1,13:38
1957-04-04,MTL,SF,5,x,"Richard, Maurice",MTL,4-3,NYR,1,1:11
1958-03-27,NYR,SF,2,,"Toppazzini, Jerry",BOS,4-3,NYR,1,4:46
1958-03-30,DET,SF,3,,"Pronovost, André",MTL,2-1,DET,1,11:52
1958-04-17,MTL,F,5,,"Richard, Maurice",MTL,3-2,BOS,1,5:45
1959-03-28,TOR,SF,3,,"Ehman, Gerry",TOR,3-2,BOS,1,5:02
1959-03-31,TOR,SF,4,,"Mahovlich, Frank",TOR,3-2,BOS,1,11:21
1959-04-14,TOR,F,3,,"Duff, Dick",TOR,3-2,MTL,1,10:06
1960-03-26,MTL,SF,2,,"Harvey, Doug",MTL,4-3,CBH,1,8:38
1960-03-27,DET,SF,3,,"Mahovlich, Frank",TOR,5-4,DET,3,43:00
1960-03-29,DET,SF,4,,"Melnyk, Gerry",DET,2-1,TOR,1,1:54
1961-03-22,TOR,SF,1,,"Armstrong, George",TOR,3-2,DET,2,24:51
1961-03-26,CBH,SF,3,,"Balfour, Murray",CBH,2-1,MTL,3,52:12
1962-04-05,TOR,SF,5,,"Kelly, Red",TOR,3-2,NYR,2,24:23
1964-04-02,DET,SF,4,,"Balfour, Murray",CBH,3-2,DET,1,8:21
1964-04-14,TOR,F,2,,"Jeffrey, Larry",DET,4-3,TOR,1,7:52
1964-04-23,DET,F,6,,"Baun, Bob",TOR,4-3,DET,1,1:43
1965-04-06,TOR,SF,3,,"Keon, Dave",TOR,3-2,MTL,1,4:17
1965-04-13,TOR,SF,6,x,"Provost, Claude",MTL,4-3,TOR,1,16:33
1966-05-05,DET,F,6,x,"Richard, Henri",MTL,3-2,DET,1,2:20
1967-04-13,NYR,SF,4,x,"Ferguson, John",MTL,2-1,NYR,1,6:28
1967-04-25,TOR,F,3,,"Pulford, Bob",TOR,3-2,MTL,2,28:26
1968-04-10,STL,QF,3,,"Keenan, Larry",STL,3-2,PHI,2,24:10
