Team Name,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Carolina Hurricanes*,Central Division,56,36,12,8,80,.714,179,136,0.67,-0.10,.625,27,27-12-17
Florida Panthers*,.634,56,37,14,5,79,.705,189,153,0.56,-0.08,.670,26,26-14-16
Tampa Bay Lightning*,.607,56,36,17,3,75,.670,181,147,0.53,-0.08,.652,29,29-17-10
Nashville Predators*,.607,56,31,23,2,64,.571,156,154,0.03,0.00,.509,21,21-23-12
Dallas Stars,.482,56,23,19,14,60,.536,158,154,0.06,-0.01,.446,17,17-19-20
Chicago Blackhawks,.482,56,24,25,7,55,.491,161,186,-0.39,0.06,.429,15,15-25-16
Detroit Red Wings,.411,56,19,27,10,48,.429,127,171,-0.69,0.10,.348,16,16-27-13
Columbus Blue Jackets,.402,56,18,26,12,48,.429,137,187,-0.78,0.11,.321,12,12-26-18
Pittsburgh Penguins*,.375,East Division,56,37,16,3,77,.688,196,156,0.62,-0.09,.643,29
Washington Capitals*,29-16-11,.616,56,36,15,5,77,.688,191,163,0.44,-0.06,.634,29
Boston Bruins*,29-15-12,.625,56,33,16,7,73,.652,168,136,0.50,-0.07,.571,25
New York Islanders*,25-16-15,.580,56,32,17,7,71,.634,156,128,0.44,-0.06,.563,24
New York Rangers,24-17-15,.562,56,27,23,6,60,.536,177,157,0.31,-0.05,.491,24
Philadelphia Flyers,24-23-9,.509,56,25,23,8,58,.518,163,201,-0.59,0.08,.455,17
New Jersey Devils,17-23-16,.446,56,19,30,7,45,.402,145,194,-0.77,0.11,.384,15
Buffalo Sabres,15-30-11,.366,56,15,34,7,37,.330,138,199,-0.95,0.14,.259,11
Toronto Maple Leafs*,11-34-11,.295,North Division,56,35,14,7,77,.688,187,148,0.60,-0.10,.616
Edmonton Oilers*,29,29-14-13,.634,56,35,19,2,72,.643,183,154,0.44,-0.08,.625
Winnipeg Jets*,31,31-19-6,.607,56,30,23,3,63,.563,170,154,0.25,-0.04,.554
Montreal Canadiens*,24,24-23-9,.509,56,24,21,11,59,.527,159,168,-0.14,0.02,.446
Calgary Flames,20,20-21-15,.491,56,26,27,3,55,.491,156,161,-0.08,0.01,.464
Ottawa Senators,22,22-27-7,.455,56,23,28,5,51,.455,157,190,-0.51,0.08,.402
Vancouver Canucks,18,18-28-10,.411,56,23,29,4,50,.446,151,188,-0.56,0.10,.393
Colorado Avalanche*,17,17-29-10,.393,West Division,56,39,13,4,82,.732,197,133,1.00,-0.14
Vegas Golden Knights*,.705,35,35-13-8,.696,56,40,14,2,82,.732,191,124,1.05,-0.15
Minnesota Wild*,.723,30,30-14-12,.643,56,35,16,5,75,.670,181,160,0.33,-0.05
St. Louis Blues*,.625,27,27-16-13,.598,56,27,20,9,63,.563,169,170,-0.02,0.00
Arizona Coyotes,.491,19,19-20-17,.491,56,24,26,6,54,.482,153,176,-0.36,0.05
Los Angeles Kings,.420,19,19-26-11,.438,56,21,28,7,49,.438,143,170,-0.42,0.06
San Jose Sharks,.375,19,19-28-9,.420,56,21,28,7,49,.438,151,199,-0.75,0.11
Anaheim Ducks,.357,15,15-28-13,.384,56,17,30,9,43,.384,126,179,-0.83,0.12
Carolina Hurricanes*,56,36,12,8,80,.714,179,136,0.67,-0.10,.625,27,27-12-17,.634
Florida Panthers*,56,37,14,5,79,.705,189,153,0.56,-0.08,.670,26,26-14-16,.607
Tampa Bay Lightning*,56,36,17,3,75,.670,181,147,0.53,-0.08,.652,29,29-17-10,.607
Nashville Predators*,56,31,23,2,64,.571,156,154,0.03,0.00,.509,21,21-23-12,.482
Dallas Stars,56,23,19,14,60,.536,158,154,0.06,-0.01,.446,17,17-19-20,.482
Chicago Blackhawks,56,24,25,7,55,.491,161,186,-0.39,0.06,.429,15,15-25-16,.411
Detroit Red Wings,56,19,27,10,48,.429,127,171,-0.69,0.10,.348,16,16-27-13,.402
Columbus Blue Jackets,56,18,26,12,48,.429,137,187,-0.78,0.11,.321,12,12-26-18,.375
Pittsburgh Penguins*,East Division,56,37,16,3,77,.688,196,156,0.62,-0.09,.643,29,29-16-11
Washington Capitals*,.616,56,36,15,5,77,.688,191,163,0.44,-0.06,.634,29,29-15-12
Boston Bruins*,.625,56,33,16,7,73,.652,168,136,0.50,-0.07,.571,25,25-16-15
New York Islanders*,.580,56,32,17,7,71,.634,156,128,0.44,-0.06,.563,24,24-17-15
New York Rangers,.562,56,27,23,6,60,.536,177,157,0.31,-0.05,.491,24,24-23-9
Philadelphia Flyers,.509,56,25,23,8,58,.518,163,201,-0.59,0.08,.455,17,17-23-16
New Jersey Devils,.446,56,19,30,7,45,.402,145,194,-0.77,0.11,.384,15,15-30-11
Buffalo Sabres,.366,56,15,34,7,37,.330,138,199,-0.95,0.14,.259,11,11-34-11
Toronto Maple Leafs*,.295,North Division,56,35,14,7,77,.688,187,148,0.60,-0.10,.616,29
