Team Name,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,ROW,RgRec,RgPt%
Boston Bruins*,82,54,19,9,117,.713,261,177,0.92,-0.11,.677,51,47-19-16,.671
Tampa Bay Lightning*,82,46,27,9,101,.616,240,215,0.25,-0.06,.549,38,32-27-23,.530
Montreal Canadiens*,82,46,28,8,100,.610,215,204,0.08,-0.05,.543,40,33-28-21,.530
Detroit Red Wings*,82,39,28,15,93,.567,222,230,-0.14,-0.04,.500,34,30-28-24,.512
Ottawa Senators,82,37,31,14,88,.537,236,265,-0.37,-0.02,.451,30,27-31-24,.476
Toronto Maple Leafs,82,38,36,8,84,.512,231,256,-0.34,-0.04,.433,29,24-36-22,.427
Florida Panthers,82,29,45,8,66,.402,196,268,-0.87,0.01,.341,21,21-45-16,.354
Buffalo Sabres,82,21,51,10,52,.317,157,248,-1.09,0.02,.244,14,11-51-20,.256
Pittsburgh Penguins*,82,51,24,7,109,.665,249,207,0.47,-0.04,.598,44,40-24-18,.598
New York Rangers*,82,45,31,6,96,.585,218,193,0.26,-0.04,.543,41,39-31-12,.549
Philadelphia Flyers*,82,42,30,10,94,.573,236,235,-0.01,-0.02,.543,39,35-30-17,.530
Columbus Blue Jackets*,82,43,32,7,93,.567,231,216,0.16,-0.03,.506,38,35-32-15,.518
Washington Capitals,82,38,30,14,90,.549,235,240,-0.08,-0.02,.470,28,24-30-28,.463
New Jersey Devils,82,35,29,18,88,.537,197,208,-0.15,-0.02,.506,35,26-29-27,.482
Carolina Hurricanes,82,36,35,11,83,.506,207,230,-0.29,-0.01,.451,34,30-35-17,.470
New York Islanders,82,34,37,11,79,.482,225,267,-0.51,0.00,.396,25,21-37-24,.402
Colorado Avalanche*,82,52,22,8,112,.683,250,220,0.40,0.04,.628,47,37-22-23,.591
St. Louis Blues*,82,52,23,7,111,.677,248,191,0.71,0.01,.598,43,40-23-19,.604
Chicago Blackhawks*,82,46,21,15,107,.652,267,220,0.60,0.02,.573,40,39-21-22,.610
Minnesota Wild*,82,43,27,12,98,.598,207,206,0.07,0.05,.524,35,32-27-23,.530
Dallas Stars*,82,40,31,11,91,.555,235,228,0.14,0.05,.494,36,34-31-17,.518
Nashville Predators,82,38,32,12,88,.537,216,242,-0.25,0.07,.506,36,33-32-17,.506
Winnipeg Jets,82,37,35,10,84,.512,227,237,-0.07,0.06,.439,29,24-35-23,.433
Anaheim Ducks*,82,54,20,8,116,.707,266,209,0.68,-0.01,.677,51,44-20-18,.646
San Jose Sharks*,82,51,22,9,111,.677,249,200,0.60,0.00,.604,41,37-22-23,.591
Los Angeles Kings*,82,46,28,8,100,.610,206,174,0.40,0.01,.549,38,34-28-20,.537
Phoenix Coyotes,82,37,30,15,89,.543,216,231,-0.16,0.03,.457,31,28-30-24,.488
Vancouver Canucks,82,36,35,11,83,.506,196,223,-0.30,0.03,.451,31,25-35-22,.439
Calgary Flames,82,35,40,7,77,.470,209,241,-0.35,0.04,.402,28,21-40-21,.384
Edmonton Oilers,82,29,44,9,67,.409,203,270,-0.75,0.07,.348,25,20-44-18,.354
