Team Name,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,ROW,RgRec,RgPt%
New Jersey Devils*,82,46,27,9,101,.616,242,229,0.05,-0.11,.530,37,33-27-22,.537
Philadelphia Flyers*,82,45,26,11,101,.616,267,259,0.00,-0.10,.561,41,34-26-22,.549
New York Rangers*,82,44,26,12,100,.610,257,215,0.38,-0.14,.518,37,33-26-23,.543
New York Islanders,82,36,40,6,78,.476,230,278,-0.62,-0.04,.402,27,24-40-18,.402
Pittsburgh Penguins,82,22,46,14,58,.354,244,316,-0.89,-0.01,.299,21,17-46-19,.323
Ottawa Senators*,Northeast Division,82,52,21,9,113,.689,314,211,1.18,-0.08,.659,50,48-21-13
Buffalo Sabres*,.665,82,52,24,6,110,.671,281,239,0.50,-0.01,.634,47,41-24-17
Montreal Canadiens*,.604,82,42,31,9,93,.567,243,247,-0.01,0.04,.518,40,33-31-18
Toronto Maple Leafs,.512,82,41,33,8,90,.549,257,270,-0.11,0.05,.524,38,31-33-18
Boston Bruins,.488,82,29,37,16,74,.451,230,266,-0.36,0.08,.390,27,23-37-22
Carolina Hurricanes*,.415,Southeast Division,82,52,22,8,112,.683,294,260,0.29,-0.13,.598,44
Tampa Bay Lightning*,40-22-20,.610,82,43,33,6,92,.561,252,260,-0.18,-0.08,.512,37
Atlanta Thrashers,31-33-18,.488,82,41,33,8,90,.549,281,275,-0.03,-0.10,.500,36
Florida Panthers,31-33-18,.488,82,37,34,11,85,.518,240,257,-0.28,-0.07,.457,33
Washington Capitals,25-34-23,.445,82,29,41,12,70,.427,237,306,-0.86,-0.02,.348,22
Detroit Red Wings*,82,58,16,8,124,.756,305,209,1.03,-0.14,.701,54,51-16-15,.713
Nashville Predators*,82,49,25,8,106,.646,259,227,0.32,-0.07,.579,43,40-25-17,.591
Columbus Blue Jackets,82,35,43,4,74,.451,223,279,-0.66,0.02,.396,27,21-43-18,.366
Chicago Blackhawks,82,26,43,13,65,.396,211,285,-0.86,0.04,.341,24,17-43-22,.341
St. Louis Blues,82,21,46,15,57,.348,197,292,-1.09,0.07,.280,17,14-46-22,.305
Calgary Flames*,Northwest Division,82,46,25,11,103,.628,218,200,0.30,0.08,.591,44,42-25-15
Colorado Avalanche*,.604,82,43,30,9,95,.579,283,257,0.39,0.07,.543,40,37-30-15
Edmonton Oilers*,.543,82,41,28,13,95,.579,256,251,0.15,0.09,.512,34,28-28-26
Vancouver Canucks,.500,82,42,32,8,92,.561,256,255,0.11,0.10,.512,38,34-32-16
Minnesota Wild,.512,82,38,36,8,84,.512,231,215,0.28,0.08,.451,33,32-36-14
Dallas Stars*,.476,82,53,23,6,112,.683,265,218,0.61,0.04,.579,41,38-23-21
San Jose Sharks*,.591,82,44,27,11,99,.604,266,242,0.36,0.06,.573,43,34-27-21
Mighty Ducks of Anaheim*,.543,82,43,27,12,98,.598,254,229,0.37,0.06,.549,40,37-27-18
Los Angeles Kings,.561,82,42,35,5,89,.543,249,270,-0.15,0.11,.482,36,32-35-15
Phoenix Coyotes,.482,82,38,39,5,81,.494,246,271,-0.19,0.12,.457,34,28-39-15
