Team Name,GP,W,L,T,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%
Philadelphia Flyers*,82,40,21,15,6,101,.616,229,186,0.47,-0.05,.579
New Jersey Devils*,82,43,25,12,2,100,.610,213,164,0.54,-0.06,.598
New York Islanders*,82,38,29,11,4,91,.555,237,210,0.29,-0.04,.530
New York Rangers,82,27,40,7,8,69,.421,206,250,-0.51,0.03,.372
Pittsburgh Penguins,82,23,47,8,4,58,.354,190,303,-1.31,0.07,.329
Boston Bruins*,Northeast Division,82,41,19,15,7,104,.634,209,188,0.29,0.03
Toronto Maple Leafs*,.591,82,45,24,10,3,103,.628,242,204,0.48,0.02
Ottawa Senators*,.610,82,43,23,10,6,102,.622,262,189,0.88,-0.01
Montreal Canadiens*,.585,82,41,30,7,4,93,.567,208,192,0.23,0.04
Buffalo Sabres,.543,82,37,34,7,4,85,.518,220,221,0.02,0.04
Tampa Bay Lightning*,.494,Southeast Division,82,46,22,8,6,106,.646,245,192,0.56
Atlanta Thrashers,-0.09,.610,82,33,37,8,4,78,.476,214,243,-0.38
Carolina Hurricanes,-0.03,.451,82,28,34,14,6,76,.463,172,209,-0.46
Florida Panthers,-0.01,.427,82,28,35,15,4,75,.457,188,221,-0.42
Washington Capitals,-0.02,.433,82,23,46,10,3,59,.360,186,253,-0.80
Detroit Red Wings*,82,48,21,11,2,109,.665,255,189,0.72,-0.09,.652
St. Louis Blues*,82,39,30,11,2,91,.555,191,198,-0.09,-0.01,.543
Nashville Predators*,82,38,29,11,4,91,.555,216,217,-0.05,-0.04,.530
Columbus Blue Jackets,82,25,45,8,4,62,.378,177,238,-0.72,0.03,.354
Chicago Blackhawks,82,20,43,11,8,59,.360,188,259,-0.84,0.02,.311
Vancouver Canucks*,Northwest Division,82,43,24,10,5,101,.616,235,194,0.52,0.02
Colorado Avalanche*,.585,82,40,22,13,7,100,.610,236,198,0.48,0.02
Calgary Flames*,.567,82,42,30,7,3,94,.573,200,176,0.33,0.04
Edmonton Oilers,.555,82,36,29,12,5,89,.543,221,208,0.21,0.05
Minnesota Wild,.512,82,30,29,20,3,83,.506,188,183,0.08,0.02
San Jose Sharks*,.488,82,43,21,12,6,104,.634,219,183,0.40,-0.04
Dallas Stars*,.598,82,41,26,13,2,97,.591,194,175,0.22,-0.01
Los Angeles Kings,.579,82,28,29,16,9,81,.494,205,217,-0.15,0.00
Mighty Ducks of Anaheim,.439,82,29,35,10,8,76,.463,184,213,-0.34,0.01
Phoenix Coyotes,.415,82,22,36,18,6,68,.415,188,245,-0.66,0.04
