Team Name,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,ROW,RgRec,RgPt%
Philadelphia Flyers*,82,47,23,12,106,.646,259,223,0.40,-0.04,.598,44,41-23-18,.610
Pittsburgh Penguins*,82,49,25,8,106,.646,238,199,0.43,-0.05,.555,39,34-25-23,.555
New York Rangers*,82,44,33,5,93,.567,233,198,0.37,-0.06,.500,35,32-33-17,.494
New Jersey Devils,82,38,39,5,81,.494,174,209,-0.41,0.02,.457,35,28-39-15,.433
New York Islanders,82,30,39,13,73,.445,229,264,-0.42,0.01,.378,26,19-39-24,.378
Boston Bruins*,Northeast Division,82,46,25,11,103,.628,246,195,0.56,-0.07,.585,44,43-25-14
Montreal Canadiens*,.610,82,44,30,8,96,.585,216,209,0.05,-0.04,.537,41,36-30-16
Buffalo Sabres*,.537,82,43,29,10,96,.585,245,229,0.15,-0.04,.500,38,28-29-25
Toronto Maple Leafs,.494,82,37,34,11,85,.518,218,251,-0.41,0.00,.457,32,30-34-18
Ottawa Senators,.476,82,32,40,10,74,.451,192,250,-0.69,0.02,.409,30,28-40-14
Washington Capitals*,.427,Southeast Division,82,48,23,11,107,.652,224,197,0.27,-0.06,.591,43
Tampa Bay Lightning*,34-23-25,.567,82,46,25,11,103,.628,247,240,0.04,-0.05,.561,40
Carolina Hurricanes,32-25-25,.543,82,40,31,11,91,.555,236,239,-0.08,-0.04,.488,35
Atlanta Thrashers,29-31-22,.488,82,34,36,12,80,.488,223,269,-0.57,-0.01,.427,29
Florida Panthers,19-36-27,.396,82,30,40,12,72,.439,195,229,-0.43,-0.01,.384,26
Detroit Red Wings*,82,47,25,10,104,.634,261,241,0.27,0.03,.573,43,34-25-23,.555
Nashville Predators*,82,44,27,11,99,.604,219,194,0.31,0.01,.524,38,36-27-19,.555
Chicago Blackhawks*,82,44,29,9,97,.591,258,225,0.41,0.01,.530,38,34-29-19,.530
St. Louis Blues,82,38,33,11,87,.530,240,234,0.11,0.04,.476,34,31-33-18,.488
Columbus Blue Jackets,82,34,35,13,81,.494,215,258,-0.45,0.08,.433,29,24-35-23,.433
Vancouver Canucks*,Northwest Division,82,54,19,9,117,.713,262,185,0.87,-0.07,.665,50,46-19-17
Calgary Flames,.665,82,41,29,12,94,.573,250,237,0.14,-0.02,.488,32,30-29-23
Minnesota Wild,.506,82,39,35,8,86,.524,206,233,-0.30,0.03,.488,36,31-35-16
Colorado Avalanche,.476,82,30,44,8,68,.415,227,288,-0.70,0.05,.335,24,18-44-20
Edmonton Oilers,.341,82,25,45,12,62,.378,193,269,-0.87,0.06,.348,23,21-45-16
San Jose Sharks*,.354,82,48,25,9,105,.640,248,213,0.44,0.02,.585,43,38-25-19
Anaheim Ducks*,.579,82,47,30,5,99,.604,239,235,0.09,0.05,.561,43,34-30-18
Phoenix Coyotes*,.524,82,43,26,13,99,.604,231,226,0.11,0.05,.530,38,36-26-20
Los Angeles Kings*,.561,82,46,30,6,98,.598,219,198,0.29,0.03,.512,36,35-30-17
Dallas Stars,.530,82,42,29,11,95,.579,227,233,-0.02,0.05,.524,37,32-29-21
