Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
531,Noah Gregor,25,TOR,C,63,6,6,12,-7,17,0.1,4,1,1,1,6,0,0,110,5.5,718,11:24,26,147,14,10,58.3,gregono01
532,Carl Grundström,26,LAK,RW,50,8,4,12,-2,12,1.0,6,1,1,1,4,0,0,95,8.4,547,10:56,16,115,2,8,20.0,grundca01
533,Nicolas Hague,25,VEG,D,73,2,10,12,-5,43,2.1,2,0,0,1,10,0,0,105,1.9,1354,18:33,111,153,0,0,,hagueni01
534,Jani Hakanpää,31,DAL,D,64,2,10,12,10,33,2.8,2,0,0,1,10,0,0,56,3.6,1193,18:39,123,196,0,0,,hakanja01
535,Mattias Janmark,31,EDM,C,71,4,8,12,0,46,0.0,4,0,0,0,8,0,0,67,6.0,845,11:54,19,55,32,43,42.7,janmama02
536,Mathieu Olivier,26,CBJ,F,54,5,7,12,-4,70,0.5,4,0,1,1,7,0,0,55,9.1,609,11:17,36,163,4,12,25.0,olivima01
537,Juuso Pärssinen,22,NSH,C,44,8,4,12,-6,12,0.6,6,2,0,0,3,1,0,54,14.8,642,14:36,15,62,78,130,37.5,parssju01
538,Michael Pezzetta,25,MTL,C,61,3,9,12,4,59,0.8,3,0,0,1,9,0,0,42,7.1,476,7:48,29,242,6,8,42.9,pezzemi01
539,Derek Ryan,37,EDM,C,70,5,7,12,-3,8,0.3,3,0,2,0,6,0,1,52,9.6,714,10:12,28,59,228,181,55.7,ryande01
540,Chris Tierney,29,NJD,C,52,4,8,12,3,21,1.0,4,0,0,0,8,0,0,26,15.4,469,9:02,12,20,111,83,57.2,tiernch01
541,Marc-Édouard Vlasic,36,SJS,D,57,6,6,12,-27,26,1.2,6,0,0,1,6,0,0,72,8.3,928,16:17,108,35,0,0,,vlasima01
542,Kevin Bahl,23,NJD,D,82,1,10,11,1,82,2.4,1,0,0,1,10,0,0,63,1.6,1427,17:24,103,151,0,0,,bahlke01
543,Thomas Bordeleau,22,SJS,C,27,6,5,11,-18,18,0.5,2,4,0,1,2,3,0,48,12.5,406,15:01,19,12,66,59,52.8,bordeth01
544,Ian Cole,34,VAN,D,78,2,9,11,10,61,2.9,2,0,0,0,9,0,0,61,3.3,1458,18:41,166,83,0,0,,coleia01
545,Tony DeAngelo,28,CAR,D,31,3,8,11,-7,24,1.3,1,2,0,0,4,4,0,44,6.8,445,14:20,18,4,0,0,,deangan01
546,Vincent Desharnais,27,EDM,D,78,1,10,11,3,54,2.1,1,0,0,0,9,0,1,41,2.4,1227,15:44,122,135,0,0,,deshavi01
547,Mackenzie Entwistle,24,CHI,RW,67,5,6,11,-29,47,-0.4,5,0,0,1,6,0,0,66,7.6,763,11:23,32,139,172,221,43.8,entwima01
548,Luke Glendening,34,TBL,C,81,10,1,11,-2,39,0.4,9,0,1,1,1,0,0,57,17.5,941,11:37,53,121,531,417,56.0,glendlu01
549,Matt Grzelcyk,30,BOS,D,63,2,9,11,13,37,3.2,2,0,0,0,9,0,0,59,3.4,1109,17:36,76,53,0,0,,grzelma01
550,Pierre-Olivier Joseph,24,PIT,D,52,2,9,11,-3,14,1.6,2,0,0,1,9,0,0,42,4.8,784,15:05,44,47,0,0,,joseppi01
551,Isac Lundeström,24,ANA,C,46,5,6,11,-1,2,0.4,4,0,1,0,5,1,0,38,13.2,660,14:20,27,51,170,216,44.0,lundeis01
552,Jonathon Merrill,31,MIN,D,65,4,7,11,0,30,2.2,4,0,0,0,7,0,0,42,9.5,831,12:47,57,37,0,0,,merrijo01
553,Henry Thrun,22,SJS,D,51,3,8,11,-22,16,1.3,1,2,0,0,6,2,0,48,6.3,1020,20:00,71,26,0,0,,thrunhe01
554,John Beecher,22,BOS,C,52,7,3,10,-6,24,0.5,7,0,0,1,3,0,0,38,18.4,552,10:37,34,112,273,227,54.6,beechjo01
555,Adam Boqvist,23,CBJ,D,35,1,9,10,-8,0,0.9,1,0,0,0,5,4,0,45,2.2,640,18:17,42,11,0,0,,boqviad01
556,Josh Brown,30,ARI,D,51,3,7,10,2,75,1.9,3,0,0,1,7,0,0,44,6.8,752,14:45,85,112,0,0,,brownjo01
557,Calvin de Haan,32,TBL,D,59,3,7,10,-9,22,1.5,3,0,0,0,7,0,0,56,5.4,981,16:38,82,96,0,0,,dehaaca01
558,Phillip Di Giuseppe,30,VAN,LW,51,5,5,10,-1,36,0.3,5,0,0,1,5,0,0,52,9.6,617,12:06,23,93,5,12,29.4,digiuph01
559,Jamie Drysdale,21,TOT,D,34,3,7,10,-20,8,0.6,2,1,0,0,5,1,1,55,5.5,667,19:37,43,26,0,0,,drysdja01
560,Ty Emberson,23,SJS,D,30,1,9,10,-4,6,1.6,1,0,0,0,8,1,0,31,3.2,556,18:33,46,94,0,0,,emberty01
561,Andreas Englund,28,LAK,D,82,1,9,10,-3,81,2.1,1,0,0,0,9,0,0,41,2.4,1084,13:13,87,189,0,0,,engluan01
562,Sam Gagner,34,EDM,C,28,5,5,10,-2,10,0.9,5,0,0,2,4,1,0,48,10.4,286,10:13,17,17,15,9,62.5,gagnesa01
563,Alex Goligoski,38,MIN,D,36,0,10,10,-8,18,0.8,0,0,0,0,8,2,0,32,0.0,533,14:49,41,27,0,0,,goligal01
564,Rafaël Harvey-Pinard,25,MTL,LW,45,2,8,10,-2,6,0.2,2,0,0,0,7,0,1,26,7.7,569,12:38,47,47,13,28,31.7,harvera01
565,Barrett Hayton,23,ARI,C,33,3,7,10,-13,26,-0.1,2,1,0,0,6,1,0,66,4.5,561,17:01,15,17,208,210,49.8,haytoba01
566,Ben Hutton,30,VEG,D,41,2,8,10,12,17,2.6,2,0,0,0,7,1,0,67,3.0,667,16:15,54,17,0,0,,huttobe01
567,David Jiříček,20,CBJ,D,43,1,9,10,-4,22,1.2,1,0,0,1,9,0,0,38,2.6,628,14:36,45,23,0,0,,jiricda01
568,Mark Kastelic,24,OTT,C,63,5,5,10,-5,63,0.5,5,0,0,0,5,0,0,60,8.3,487,7:43,31,126,190,159,54.4,kastema01
569,Jakub Lauko,23,BOS,C,60,2,8,10,-3,32,0.1,2,0,0,0,8,0,0,43,4.7,589,9:49,24,176,7,9,43.8,laukoja01
570,Gustav Lindström,25,TOT,D,46,3,7,10,12,24,2.7,3,0,0,0,7,0,0,29,10.3,708,15:24,63,63,0,0,,lindsgu01
571,Sam Malinski,25,COL,D,23,3,7,10,3,6,1.6,2,1,0,1,6,1,0,31,9.7,327,14:14,22,14,0,0,,malinsa01
572,Zach Parise,39,COL,LW,30,5,5,10,-7,8,0.4,5,0,0,1,3,2,0,50,10.0,389,12:58,25,20,13,30,30.2,parisza01
573,Andrew Peeke,25,TOT,D,38,1,9,10,-1,14,1.5,1,0,0,0,8,0,1,37,2.7,623,16:24,78,88,0,0,,peekean01
574,Eric Robinson,28,TOT,LW,47,3,7,10,-3,19,0.3,3,0,0,1,7,0,0,61,4.9,533,11:20,11,94,3,3,50.0,robiner01
575,Jayden Struble,22,MTL,D,56,3,7,10,-3,57,1.6,3,0,0,0,7,0,0,47,6.4,902,16:07,53,121,0,0,,strubja01
576,Conor Timmins,25,TOR,D,25,1,9,10,9,18,1.8,1,0,0,0,7,2,0,25,4.0,401,16:01,28,34,0,0,,timmico01
577,Arber Xhekaj,23,MTL,D,44,3,7,10,6,81,2.1,3,0,0,0,7,0,0,61,4.9,701,15:56,49,125,0,0,,xhekaar01
578,Sebastian Aho,27,NYI,D,58,2,7,9,-7,12,1.2,2,0,0,0,5,2,0,48,4.2,951,16:23,72,42,0,0,,ahose02
579,Andreas Athanasiou,29,CHI,C,28,2,7,9,-7,7,0.4,2,0,0,0,5,2,0,44,4.5,367,13:06,21,11,76,88,46.3,athanan01
580,Alex Barré-Boulet,26,TBL,F,36,6,3,9,-9,10,0.5,4,2,0,0,3,0,0,46,13.0,403,11:11,8,26,14,14,50.0,barreal01
581,Zachary Bolduc,20,STL,C,25,5,4,9,0,6,0.9,5,0,0,0,4,0,0,38,13.2,300,12:01,12,12,1,1,50.0,bolduza01
582,Declan Chisholm,24,TOT,D,31,3,6,9,-7,18,1.1,1,2,0,0,3,3,0,29,10.3,512,16:32,38,12,0,0,,chishde01
583,Matthew Coronato,21,CGY,RW,34,3,6,9,-15,4,-0.1,2,1,0,0,6,0,0,58,5.2,429,12:37,7,7,5,14,26.3,coronma01
584,Ty Dellandrea,23,DAL,C,42,2,7,9,-10,23,-0.3,2,0,0,0,7,0,0,53,3.8,532,12:40,17,63,93,131,41.5,dellaty01
585,Josh Doan,21,ARI,RW,11,5,4,9,6,0,1.4,5,0,0,1,4,0,0,23,21.7,135,12:19,7,7,5,7,41.7,doanjo01
586,Christian Dvorak,27,MTL,C,30,5,4,9,-5,4,0.4,4,1,0,0,4,0,0,35,14.3,466,15:32,19,16,197,144,57.8,dvorach01
587,Ryker Evans,22,SEA,D,36,1,8,9,-5,20,1.6,1,0,0,0,3,5,0,44,2.3,690,19:11,38,62,0,0,,evansry01
588,Julien Gauthier,26,NYI,RW,27,5,4,9,-5,8,0.7,5,0,0,1,4,0,0,32,15.6,275,10:10,17,63,3,5,37.5,gauthju01
589,Mark Giordano,40,TOR,D,46,3,6,9,10,49,2.1,3,0,0,1,6,0,0,59,5.1,764,16:37,86,51,0,0,,giordma01
590,Dylan Holloway,22,EDM,C,38,6,3,9,-1,29,0.6,5,1,0,0,3,0,0,56,10.7,432,11:22,14,91,27,20,57.4,hollody01
591,Zachary Jones,23,NYR,D,31,2,7,9,1,8,1.6,2,0,0,1,7,0,0,42,4.8,453,14:38,23,22,0,0,,jonesza01
592,Joel Kiviranta,27,COL,F,56,3,6,9,-1,12,0.1,3,0,0,0,6,0,0,48,6.3,551,9:50,31,78,2,5,28.6,kivirjo01
593,Kaedan Korczak,23,VEG,D,26,1,8,9,12,8,2.2,1,0,0,0,7,1,0,32,3.1,429,16:30,31,43,0,0,,korczka01
594,Kevin Labanc,28,SJS,RW,46,2,7,9,-27,16,-0.6,2,0,0,0,4,3,0,60,3.3,535,11:37,17,61,6,14,30.0,labanke01
595,Patrik Laine,25,CBJ,RW,18,6,3,9,-10,6,0.6,5,1,0,0,2,1,0,41,14.6,274,15:13,14,5,30,49,38.0,lainepa01
596,Vinni Lettieri,28,MIN,C,46,5,4,9,-7,24,0.4,5,0,0,1,4,0,0,47,10.6,441,9:35,27,53,41,42,49.4,lettivi01
597,Jacob MacDonald,30,SJS,D,34,7,2,9,-14,23,1.2,4,3,0,0,1,1,0,49,14.3,409,12:01,17,40,1,3,25.0,macdoja02
598,Kyle MacLean,24,NYI,F,32,4,5,9,5,11,0.9,4,0,0,0,5,0,0,26,15.4,323,10:05,6,60,105,142,42.5,macleky01
599,Josh Mahura,25,FLA,D,30,0,9,9,-2,20,1.1,0,0,0,0,8,0,1,25,0.0,378,12:36,27,40,0,0,,mahurjo01
600,Colin Miller,31,TOT,D,46,4,5,9,8,26,2.4,4,0,0,0,4,1,0,69,5.8,722,15:42,37,91,0,0,,milleco02
601,Tyler Motte,28,TBL,C,69,6,3,9,-8,28,-0.2,4,0,2,2,3,0,0,83,7.2,859,12:27,41,97,78,77,50.3,mottety01
602,Nikita Okhotyuk,23,TOT,D,52,1,8,9,-24,48,0.4,1,0,0,1,8,0,0,52,1.9,827,15:55,80,147,0,0,,okhotni01
603,Fredrik Olofsson,27,COL,LW,57,3,6,9,-5,8,-0.1,3,0,0,1,6,0,0,45,6.7,556,9:45,29,45,159,242,39.7,olofsfr01
604,Joshua Roy,20,MTL,RW,23,4,5,9,-2,0,0.7,4,0,0,0,5,0,0,34,11.8,279,12:08,21,12,2,5,28.6,royjo01
605,Adam Ružička,24,TOT,C,42,3,6,9,-9,12,0.1,3,0,0,1,2,4,0,35,8.6,421,10:02,16,11,86,97,47.0,ruzicad01
606,Jonas Siegenthaler,26,NJD,D,57,1,8,9,-7,20,1.3,1,0,0,0,8,0,0,63,1.6,1102,19:20,97,87,0,0,,siegejo01
607,Jarred Tinordi,31,CHI,D,52,0,9,9,-27,64,0.3,0,0,0,0,8,0,1,32,0.0,814,15:39,94,171,0,0,,tinorja01
608,Olen Zellweger,20,ANA,D,26,2,7,9,-6,4,1.1,2,0,0,0,5,2,0,34,5.9,501,19:17,38,14,0,0,,zellwol01
609,Travis Boyd,30,ARI,C,16,2,6,8,3,2,0.8,2,0,0,1,6,0,0,12,16.7,154,9:37,10,10,23,20,53.5,boydtr01
610,Brendan Brisson,22,VEG,C,15,2,6,8,-5,2,0.5,1,1,0,1,5,1,0,20,10.0,185,12:20,4,13,4,4,50.0,brissbr01
611,Jacob Bryson,26,BUF,D,36,1,7,8,5,8,1.7,1,0,0,0,7,0,0,15,6.7,528,14:41,40,17,0,0,,brysoja01
612,Kyle Burroughs,28,SJS,D,73,2,6,8,-42,71,0.1,2,0,0,1,5,1,0,79,2.5,1398,19:09,134,233,0,0,,burroky01
613,William Carrier,29,VEG,LW,39,6,2,8,3,16,0.7,6,0,0,0,2,0,0,65,9.2,436,11:10,16,90,7,8,46.7,carriwi01
614,Cole Guttman,24,CHI,C,27,4,4,8,-17,7,0.1,2,2,0,0,3,1,0,50,8.0,341,12:37,14,11,60,60,50.0,guttmco01
615,Dryden Hunt,28,CGY,LW,28,3,5,8,1,7,0.6,3,0,0,1,5,0,0,33,9.1,312,11:08,6,73,2,3,40.0,huntdr01
616,Oliver Kylington,26,CGY,D,33,3,5,8,-6,12,1.1,3,0,0,0,5,0,0,42,7.1,569,17:15,51,24,0,0,,kylinol01
617,Ilya Lyubushkin,29,TOT,D,74,0,8,8,-11,57,0.9,0,0,0,0,8,0,0,47,0.0,1267,17:07,168,176,0,0,,lyubuil01
618,Matt Martin,34,NYI,LW,57,4,4,8,7,43,0.5,4,0,0,0,4,0,0,48,8.3,531,9:19,29,151,7,11,38.9,martima02
619,Dakota Mermis,30,MIN,D,47,3,5,8,-2,33,1.5,3,0,0,0,5,0,0,42,7.1,662,14:05,59,45,0,0,,mermida01
620,Connor Murphy,30,CHI,D,46,2,6,8,-19,40,1.1,2,0,0,0,6,0,0,51,3.9,912,19:50,113,116,0,0,,murphco02
621,Marco Scandella,33,STL,D,65,2,6,8,2,15,2.0,1,0,1,1,6,0,0,42,4.8,811,12:28,49,70,0,0,,scandma01
622,Parker Wotherspoon,26,BOS,D,41,0,8,8,6,31,1.8,0,0,0,0,8,0,0,32,0.0,727,17:43,67,84,0,0,,wothepa01
623,Jesse Ylönen,24,MTL,RW,59,4,4,8,2,12,0.2,4,0,0,1,4,0,0,50,8.0,604,10:14,32,41,5,4,55.6,yloneje01
624,Noel Acciari,32,PIT,C,55,4,3,7,-7,10,-0.4,4,0,0,1,3,0,0,59,6.8,713,12:58,85,124,313,261,54.5,acciano01
625,Nils Åman,23,VAN,C,43,3,4,7,-3,8,0.1,3,0,0,0,4,0,0,28,10.7,444,10:20,22,31,72,86,45.6,amanni01
626,Pierre-Édouard Bellemare,38,SEA,LW,40,4,3,7,4,6,0.7,3,0,1,0,3,0,0,36,11.1,394,9:50,22,20,174,151,53.5,bellepi01
627,Sammy Blais,27,STL,LW,53,1,6,7,-11,31,-0.4,1,0,0,0,6,0,0,33,3.0,514,9:41,19,194,2,7,22.2,blaissa01
628,Justin Brazeau,25,BOS,F,19,5,2,7,4,2,1.0,3,2,0,1,2,0,0,31,16.1,211,11:07,12,43,3,7,30.0,brazeju01
629,Mitchell Chaffee,26,TBL,F,30,4,3,7,2,4,0.6,4,0,0,0,3,0,0,27,14.8,339,11:17,20,88,0,4,0.0,chaffmi01
630,Travis Dermott,27,ARI,D,50,2,5,7,-14,26,0.4,2,0,0,0,5,0,0,38,5.3,864,17:17,64,52,0,0,,dermotr01
631,Nick DeSimone,29,TOT,D,34,2,5,7,3,4,1.5,2,0,0,1,5,0,0,28,7.1,458,13:29,42,29,0,0,,desimni01
632,Dillon Dubé,25,CGY,C,43,3,4,7,-13,8,-0.3,2,1,0,0,4,0,0,42,7.1,480,11:10,18,35,26,23,53.1,dubedi01
633,Walker Duehr,26,CGY,F,40,2,5,7,-3,6,0.2,2,0,0,0,5,0,0,29,6.9,325,8:07,13,67,1,5,16.7,duehrwa01
634,Dennis Gilbert,27,CGY,D,34,1,6,7,-7,16,0.6,1,0,0,0,6,0,0,23,4.3,418,12:17,49,59,0,0,,gilbede01
635,David Gustafsson,23,WPG,C,39,3,4,7,1,0,0.4,3,0,0,0,4,0,0,27,11.1,361,9:16,23,30,106,88,54.6,gustada01
636,Ryan Johnson,22,BUF,D,41,0,7,7,3,12,1.4,0,0,0,0,7,0,0,35,0.0,569,13:52,39,8,0,0,,johnsry03
637,Noah Juulsen,26,VAN,D,54,1,6,7,-1,22,1.2,1,0,0,0,6,0,0,30,3.3,804,14:54,85,164,0,0,,juulsno01
638,Wyatt Kaiser,21,CHI,D,32,0,7,7,0,22,1.6,0,0,0,0,7,0,0,18,0.0,554,17:19,46,22,0,0,,kaisewy01
639,Matthew Kessel,23,STL,D,39,1,6,7,0,12,1.5,1,0,0,0,6,0,0,28,3.6,655,16:48,65,40,0,0,,kessema01
640,Ryan Lomberg,29,FLA,LW,75,5,2,7,-1,80,0.0,4,1,0,2,2,0,0,68,7.4,716,9:32,21,179,5,12,29.4,lombery01
641,Daniil Miromanov,26,TOT,D,24,3,4,7,-2,8,1.2,3,0,0,0,2,2,0,46,6.5,497,20:43,34,7,0,0,,miromda01
642,Brayden Pachal,24,TOT,D,50,2,5,7,-3,51,1.3,2,0,0,0,4,0,1,52,3.8,734,14:41,68,129,0,0,,pachabr01
643,Mattias Samuelsson,23,BUF,D,41,1,6,7,4,26,1.8,1,0,0,1,6,0,0,44,2.3,841,20:30,87,106,0,0,,samuema02
644,Luke Schenn,34,NSH,D,63,1,6,7,1,43,1.5,1,0,0,0,6,0,0,81,1.2,957,15:11,76,202,0,0,,schenlu01
645,Michael Sgarbossa,31,WSH,C,25,4,3,7,0,2,0.7,4,0,0,1,2,1,0,27,14.8,274,10:58,3,16,58,68,46.0,sgarbmi01
646,Troy Stecher,29,TOT,D,54,1,6,7,9,32,2.1,1,0,0,0,6,0,0,51,2.0,978,18:07,77,67,0,0,,stechtr01
647,Nikita Zaitsev,32,CHI,D,38,2,5,7,-5,14,1.5,2,0,0,0,3,2,0,31,6.5,605,15:56,70,69,0,0,,zaitsni01
648,Radim Zohorna,27,PIT,F,33,4,3,7,0,18,0.5,4,0,0,1,3,0,0,38,10.5,322,9:46,5,44,5,5,50.0,zohorra01
649,Jonatan Berggren,23,DET,RW,12,2,4,6,-1,2,0.5,2,0,0,0,4,0,0,14,14.3,130,10:52,7,2,0,0,,berggjo02
650,Filip Chytil,24,NYR,C,10,0,6,6,0,4,0.3,0,0,0,0,5,1,0,22,0.0,159,15:56,4,4,29,38,43.3,chytifi01
651,Brandt Clarke,20,LAK,D,16,2,4,6,-6,10,0.6,2,0,0,1,1,3,0,31,6.5,218,13:39,21,6,0,0,,clarkbr02
652,Joel Edmundson,30,TOT,D,53,1,5,6,-2,23,1.6,1,0,0,0,5,0,0,46,2.2,883,16:40,65,80,0,0,,edmunjo01
653,Travis Hamonic,33,OTT,D,48,2,4,6,-10,40,0.6,2,0,0,0,4,0,0,50,4.0,707,14:44,75,54,0,0,,hamontr01
654,Erik Johnson,35,TOT,D,67,5,1,6,-14,26,1.0,5,0,0,1,1,0,0,60,8.3,970,14:28,97,143,0,0,,johnser01
655,Tyson Jost,25,BUF,C,43,3,3,6,-11,10,-0.2,3,0,0,0,3,0,0,48,6.3,456,10:36,20,44,86,116,42.6,jostty01
656,Ivan Miroshnichenko,19,WSH,LW,21,2,4,6,-4,6,0.3,2,0,0,0,3,1,0,30,6.7,255,12:08,5,50,0,2,0.0,mirosiv01
657,Tomáš Nosek,31,NJD,C,36,2,4,6,-11,6,-0.3,2,0,0,0,4,0,0,38,5.3,425,11:49,20,33,121,112,51.9,nosekto01
658,Isaak Phillips,22,CHI,D,33,0,6,6,-26,22,-0.4,0,0,0,0,6,0,0,31,0.0,563,17:04,36,56,0,0,,phillis01
659,Ryan Reaves,37,TOR,RW,49,4,2,6,-13,49,-0.3,4,0,0,0,2,0,0,26,15.4,398,8:07,17,165,1,0,100.0,reavery01
660,Zach Sanford,29,TOT,LW,29,0,6,6,0,6,0.2,0,0,0,0,5,1,0,24,0.0,314,10:50,19,24,42,77,35.3,sanfoza01
661,Carson Soucy,29,VAN,D,40,2,4,6,10,12,1.9,1,1,0,0,3,1,0,29,6.9,699,17:29,64,65,0,0,,soucyca01
662,Jakub Vrána,27,STL,LW,21,2,4,6,-7,8,0.1,2,0,0,0,4,0,0,42,4.8,255,12:08,4,9,0,13,0.0,vranaja01
663,Oliver Wahlstrom,23,NYI,RW,32,2,4,6,-6,8,0.0,1,1,0,0,3,1,0,41,4.9,354,11:04,22,35,5,7,41.7,wahlsol01
664,Simon Benoit,25,TOR,D,64,1,4,5,7,56,1.4,1,0,0,0,4,0,0,52,1.9,1103,17:14,102,246,0,0,,benoisi01
665,Samuel Bolduc,23,NYI,D,34,2,3,5,-4,6,0.7,1,1,0,0,3,0,0,32,6.3,447,13:09,40,44,0,0,,boldusa01
666,Nick Bonino,35,NYR,C,45,1,4,5,-12,8,-0.7,1,0,0,0,4,0,0,31,3.2,551,12:15,78,10,207,199,51.0,boninni01
667,Haydn Fleury,27,TBL,D,24,1,4,5,5,20,1.3,1,0,0,0,4,0,0,25,4.0,387,16:07,40,31,0,0,,fleurha01
668,Joel Hanley,32,TOT,D,42,1,4,5,3,30,1.2,1,0,0,0,4,0,0,19,5.3,584,13:54,47,48,0,0,,hanlejo01
669,Justin Holl,32,DET,D,38,0,5,5,8,22,1.5,0,0,0,0,5,0,0,14,0.0,573,15:05,39,59,0,0,,hollju01
670,Reese Johnson,25,CHI,F,42,2,3,5,-20,40,-0.6,2,0,0,0,3,0,0,51,3.9,459,10:56,16,109,42,39,51.9,johnsre01
671,Caleb Jones,26,COL,D,25,0,5,5,4,8,0.9,0,0,0,0,5,0,0,19,0.0,305,12:12,26,34,0,0,,jonesca01
672,Axel Jonsson-Fjällby,25,WPG,LW,26,2,3,5,6,0,0.5,2,0,0,1,3,0,0,23,8.7,211,8:07,7,30,1,1,50.0,jonssax01
673,John Klingberg,31,TOR,D,14,0,5,5,-7,8,0.1,0,0,0,0,3,2,0,14,0.0,288,20:33,15,13,0,0,,klingjo01
674,Brendan Lemieux,27,CAR,LW,32,3,2,5,0,64,0.4,3,0,0,1,2,0,0,29,10.3,256,8:00,6,71,4,11,26.7,lemiebr01
675,Jake Lucchini,28,MIN,F,40,2,3,5,-3,23,-0.1,2,0,0,0,3,0,0,22,9.1,384,9:36,14,22,45,58,43.7,lucchja01
676,John Ludvig,23,PIT,D,33,3,2,5,-12,47,0.2,3,0,0,1,2,0,0,24,12.5,390,11:48,33,72,0,0,,ludvijo01
677,Olle Lycksell,24,PHI,RW,18,1,4,5,0,6,0.3,1,0,0,0,4,0,0,29,3.4,179,9:57,4,4,2,3,40.0,lycksol01
678,Emil Martinsen Lilleberg,22,TBL,D,37,0,5,5,-15,16,-0.1,0,0,0,0,5,0,0,31,0.0,600,16:12,48,105,0,0,,martiem01
679,Scott Mayfield,31,NYI,D,41,0,5,5,-7,35,0.5,0,0,0,0,5,0,0,36,0.0,769,18:46,106,70,0,0,,mayfisc01
680,Matthew Phillips,25,TOT,F,31,1,4,5,-3,0,0.0,1,0,0,0,4,0,0,21,4.8,316,10:11,15,8,1,2,33.3,phillma01
681,Jared Spurgeon,34,MIN,D,16,0,5,5,5,2,1.2,0,0,0,0,2,3,0,21,0.0,373,23:20,29,14,0,0,,spurgja01
682,Marc Staal,37,PHI,D,35,1,4,5,2,14,1.3,1,0,0,0,4,0,0,20,5.0,483,13:49,44,31,0,0,,staalma01
683,Dominic Toninato,29,WPG,C,15,1,4,5,7,6,0.6,1,0,0,1,4,0,0,12,8.3,153,10:11,9,26,52,57,47.7,tonindo01
684,Shane Wright,20,SEA,C,8,4,1,5,1,0,0.8,4,0,0,3,0,1,0,12,33.3,108,13:32,6,1,41,40,50.6,wrighsh01
685,Jaret Anderson-Dolan,24,TOT,C,31,1,3,4,-5,6,-0.2,0,0,1,0,3,0,0,31,3.2,343,11:03,22,56,20,28,41.7,anderja01
686,Ethan Bear,26,WSH,D,24,1,3,4,-5,10,0.6,1,0,0,1,3,0,0,24,4.2,358,14:54,31,16,0,0,,bearet01
687,Louis Belpedio,27,PHI,D,12,2,2,4,6,0,1.2,2,0,0,1,2,0,0,12,16.7,158,13:12,18,16,0,0,,belpelo01
688,Nicolas Deslauriers,32,PHI,LW,60,1,3,4,-7,89,-0.5,1,0,0,0,3,0,0,49,2.0,489,8:09,21,188,5,8,38.5,deslani01
689,Derek Forbort,31,BOS,D,35,0,4,4,8,17,1.5,0,0,0,0,4,0,0,22,0.0,623,17:48,65,68,0,0,,forbode01
690,Jonah Gadjovich,25,FLA,LW,39,2,2,4,0,104,0.1,2,0,0,0,2,0,0,29,6.9,290,7:26,14,82,0,0,,gadjojo01
691,Brendan Gaunce,29,CBJ,C,24,2,2,4,-7,6,-0.1,2,0,0,0,2,0,0,24,8.3,282,11:45,8,49,98,84,53.8,gauncbr01
692,Taylor Hall,32,CHI,LW,10,2,2,4,-3,4,0.3,2,0,0,1,1,1,0,20,10.0,163,16:20,3,7,6,3,66.7,hallta02
693,Jansen Harkins,26,PIT,C,45,0,4,4,-4,21,-0.4,0,0,0,0,4,0,0,37,0.0,369,8:12,13,74,2,0,100.0,harkija01
694,Ross Johnston,29,ANA,LW,68,1,3,4,-12,117,-0.9,1,0,0,0,3,0,0,44,2.3,557,8:12,27,139,3,3,50.0,johnsro02
695,Marat Khusnutdinov,21,MIN,C,16,1,3,4,-3,6,0.0,0,1,0,0,3,0,0,6,16.7,210,13:07,9,16,49,54,47.6,khusnma01
696,Vladislav Kolyachonok,22,ARI,D,5,1,3,4,5,2,0.9,1,0,0,0,3,0,0,5,20.0,62,12:28,6,4,0,0,,kolyavl01
697,William Lagesson,27,TOT,D,40,0,4,4,3,32,0.9,0,0,0,0,4,0,0,19,0.0,592,14:48,58,76,0,0,,lageswi01
698,James Malatesta,20,CBJ,LW,11,2,2,4,-1,5,0.4,2,0,0,0,2,0,0,12,16.7,112,10:13,2,41,0,1,0.0,malatja01
699,Mason Morelli,27,VEG,F,9,3,1,4,-3,0,0.4,2,1,0,0,1,0,0,9,33.3,97,10:45,6,21,2,4,33.3,morelma01
700,Matthew Nieto,31,PIT,LW,22,1,3,4,5,4,0.2,1,0,0,0,3,0,0,13,7.7,255,11:37,9,14,0,0,,nietoma01
701,Tyler Pitlick,32,NYR,C,34,1,3,4,-6,4,-0.3,1,0,0,0,3,0,0,32,3.1,347,10:12,15,84,3,14,17.6,pitlity01
702,Jesse Puljujärvi,25,PIT,RW,22,3,1,4,2,6,0.4,3,0,0,0,1,0,0,29,10.3,202,9:11,6,40,1,5,16.7,puljuje01
703,Rasmus Ristolainen,29,PHI,D,31,1,3,4,-6,8,0.7,1,0,0,0,3,0,0,46,2.2,517,16:41,45,56,0,0,,ristora01
704,Kevin Rooney,30,CGY,C,33,3,1,4,-4,2,-0.1,3,0,0,0,1,0,0,27,11.1,370,11:13,29,65,97,111,46.6,rooneke01
705,Chad Ruhwedel,33,TOT,D,52,1,3,4,-6,4,0.6,1,0,0,0,3,0,0,35,2.9,660,12:42,44,90,0,0,,ruhwech01
706,Devin Shore,29,SEA,C,21,1,3,4,3,4,0.4,1,0,0,0,3,0,0,15,6.7,168,8:00,9,27,20,20,50.0,shorede01
