Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
429,Aaron Ekblad,27,FLA,D,51,4,14,18,27,50,5.2,3,1,0,1,11,3,0,98,4.1,1064,20:52,59,85,0,0,,ekblaaa01
430,Samuel Girard,25,COL,D,59,3,15,18,0,10,2.4,3,0,0,0,14,1,0,73,4.1,1144,19:23,99,76,0,0,,girarsa01
431,Radko Gudas,33,ANA,D,66,6,12,18,14,128,4.5,6,0,0,0,11,0,1,88,6.8,1287,19:30,154,232,0,0,,gudasra01
432,Parker Kelly,24,OTT,F,80,8,10,18,-8,30,0.7,6,0,2,0,9,0,1,86,9.3,937,11:42,67,171,11,35,23.9,kellypa01
433,Keegan Kolesar,26,VEG,RW,79,8,10,18,-8,49,0.8,7,0,1,2,9,0,1,73,11.0,858,10:52,41,277,6,9,40.0,koleske01
434,Luke Kunin,26,SJS,C,77,11,7,18,-30,83,0.2,9,2,0,1,4,3,0,98,11.2,1212,15:44,60,165,219,261,45.6,kuninlu01
435,Sean Kuraly,31,CBJ,C,62,9,9,18,-5,40,1.0,9,0,0,0,8,0,1,92,9.8,852,13:44,34,156,272,293,48.1,kuralse01
436,Adam Larsson,31,SEA,D,81,4,14,18,6,55,5.1,4,0,0,1,13,0,1,130,3.1,1859,22:57,151,162,0,0,,larssad01
437,Olli Määttä,29,DET,D,72,4,14,18,14,14,4.0,4,0,0,0,14,0,0,48,8.3,1156,16:03,96,53,0,0,,maattol01
438,Dylan Samberg,25,WPG,D,78,1,17,18,16,43,3.9,1,0,0,0,15,1,1,77,1.3,1219,15:38,111,65,0,0,,sambedy01
439,Calen Addison,23,TOT,D,72,1,16,17,-38,72,0.8,1,0,0,0,7,9,0,93,1.1,1243,17:16,83,48,0,0,,addisca01
440,Joey Anderson,25,CHI,RW,55,5,12,17,5,8,1.4,5,0,0,0,12,0,0,57,8.8,745,13:33,18,48,0,2,0.0,anderjo08
441,Anthony Beauvillier,26,TOT,LW,60,5,12,17,-8,8,0.6,3,2,0,0,10,2,0,105,4.8,815,13:35,35,53,40,38,51.3,beauvan01
442,Garnet Hathaway,32,PHI,RW,82,7,10,17,-7,132,0.6,6,0,1,1,8,0,2,103,6.8,1024,12:29,73,326,22,11,66.7,hathaga01
443,Pontus Holmberg,24,TOR,RW,54,7,10,17,11,18,1.5,7,0,0,1,10,0,0,54,13.0,625,11:34,42,51,94,109,46.3,holmbpo01
444,Peyton Krebs,23,BUF,C,80,4,13,17,2,67,0.5,4,0,0,2,13,0,0,74,5.4,1000,12:30,23,108,284,330,46.3,krebspe01
445,Jackson LaCombe,23,ANA,D,71,2,15,17,-24,24,1.3,2,0,0,1,12,2,1,55,3.6,1376,19:23,129,50,0,0,,lacomja01
446,Ryan Lindgren,25,NYR,D,76,3,14,17,22,36,5.0,3,0,0,1,14,0,0,73,4.1,1471,19:21,103,114,0,0,,lindgry01
447,Alec Martinez,36,VEG,D,55,4,13,17,-2,6,2.8,4,0,0,0,10,3,0,72,5.6,1047,19:03,165,29,0,0,,martial01
448,Niko Mikkola,27,FLA,D,82,3,14,17,11,69,4.4,3,0,0,0,13,0,1,93,3.2,1643,20:02,124,198,0,0,,mikkoni01
449,Scott Perunovich,25,STL,D,54,0,17,17,1,12,2.6,0,0,0,0,11,6,0,36,0.0,825,15:16,53,30,0,0,,perunsc01
450,Ryan Suter,39,DAL,D,82,2,15,17,14,28,3.8,2,0,0,1,14,0,1,102,2.0,1553,18:56,111,86,0,0,,suterry01
451,Yakov Trenin,27,TOT,C,76,12,5,17,15,40,1.4,12,0,0,3,4,0,1,116,10.3,1108,14:34,36,207,99,121,45.0,treniya01
452,Juuso Välimäki,25,ARI,D,68,2,15,17,12,12,3.6,2,0,0,0,11,4,0,69,2.9,1298,19:06,90,69,0,0,,valimju01
453,Nicolas Aubé-Kubel,27,WSH,RW,60,6,10,16,4,23,1.2,6,0,0,0,10,0,0,58,10.3,732,12:12,26,159,6,12,33.3,aubekni01
454,Emil Bemström,24,TOT,C,56,8,8,16,-5,12,1.1,4,4,0,1,7,1,0,83,9.6,624,11:08,34,36,6,10,37.5,bemstem01
455,André Burakovsky,28,SEA,LW,49,7,9,16,-15,14,0.7,2,5,0,1,5,4,0,92,7.6,714,14:34,14,13,3,3,50.0,burakan01
456,Sam Carrick,31,TOT,C,77,10,6,16,-11,102,0.5,7,1,2,0,6,0,0,92,10.9,941,12:13,35,167,419,366,53.4,carrisa01
457,Brian Dumoulin,32,SEA,D,80,6,10,16,3,20,4.2,6,0,0,1,10,0,0,69,8.7,1361,17:01,79,72,0,0,,dumoubr01
458,Martin Fehérváry,24,WSH,D,66,3,13,16,-7,24,3.1,3,0,0,0,12,0,1,61,4.9,1296,19:38,109,188,0,0,,feherma01
459,Dougie Hamilton,30,NJD,D,20,5,11,16,-8,20,1.8,1,4,0,0,7,4,0,61,8.2,420,20:59,24,18,0,0,,hamildo01
460,Jack Johnson,37,COL,D,80,3,13,16,15,38,3.3,3,0,0,0,13,0,0,76,3.9,1194,14:56,89,78,0,0,,johnsja02
461,Kent Johnson,21,CBJ,C,42,6,10,16,-2,10,1.1,6,0,0,1,10,0,0,62,9.7,569,13:33,16,10,8,12,40.0,johnske01
462,Brett Kulak,30,EDM,D,82,3,13,16,0,30,2.6,3,0,0,1,12,1,0,94,3.2,1262,15:23,88,77,0,0,,kulakbr01
463,Trevor Lewis,37,LAK,C,82,8,8,16,7,20,1.2,7,0,1,2,6,1,1,130,6.2,954,11:38,62,90,133,179,42.6,lewistr01
464,Pat Maroon,35,TOT,LW,51,4,12,16,-11,60,0.5,4,0,0,0,11,1,0,56,7.1,655,12:51,16,82,12,20,37.5,maroopa01
465,Adam Pelech,29,NYI,D,58,1,15,16,-2,27,2.3,1,0,0,1,14,0,1,71,1.4,1176,20:17,111,64,0,0,,pelecad01
466,Lukas Reichel,21,CHI,LW,65,5,11,16,-29,12,-0.1,3,2,0,0,11,0,0,84,6.0,917,14:07,25,27,86,112,43.4,reichlu01
467,Brandon Tanev,32,SEA,LW,66,7,9,16,2,51,1.0,7,0,0,0,7,0,2,73,9.6,963,14:35,62,148,9,21,30.0,tanevbr01
468,Alex Vlasic,22,CHI,D,76,2,14,16,-4,45,4.2,2,0,0,1,12,2,0,71,2.8,1632,21:29,148,56,0,0,,vlasial01
469,Kailer Yamamoto,25,SEA,RW,59,8,8,16,-9,18,1.0,6,2,0,2,4,4,0,61,13.1,708,11:59,18,31,38,69,35.5,yamamka01
470,Viktor Arvidsson,30,LAK,LW,18,6,9,15,4,14,1.7,5,1,0,1,5,4,0,59,10.2,300,16:42,18,8,3,6,33.3,arvidvi01
471,Tyson Barrie,32,NSH,D,41,1,14,15,-10,16,1.4,1,0,0,0,8,6,0,65,1.5,751,18:19,47,14,0,0,,barrity01
472,Jeff Carter,39,PIT,C,72,11,4,15,-7,12,0.7,5,4,2,4,4,0,0,90,12.2,905,12:34,33,83,265,159,62.5,carteje01
473,Nick Cousins,30,FLA,C,69,7,8,15,1,64,0.9,7,0,0,3,8,0,0,111,6.3,841,12:11,33,130,17,15,53.1,cousini01
474,Frédérick Gaudreau,30,MIN,C,67,5,10,15,-23,12,-0.4,3,2,0,1,5,5,0,105,4.8,934,13:57,47,24,273,274,49.9,gaudrfr01
475,Mark Jankowski,29,NSH,C,32,7,8,15,11,8,1.8,6,0,1,1,7,1,0,48,14.6,405,12:40,11,8,82,81,50.3,jankoma01
476,Max Jones,25,ANA,LW,52,5,10,15,-6,33,0.7,5,0,0,0,9,1,0,76,6.6,627,12:03,14,127,5,11,31.3,jonesma03
