Name,Season,Age,Tm,Lg,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TK,GV,Awards
Mark Giordano,2018-19,35,CGY,NHL,78,17,57,74,39,69,10,3,4,2,37,18,2,221,7.7,490,1891,24:14,0,0,,144,58,73,65,AS-1Hart-9Norris-1
2022-23,39,TOR,NHL,78,4,20,24,27,53,3,0,1,1,20,0,0,107,3.7,231,1478,18:57,0,0,,147,60,20,48,
