Team Name,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,ROW,RgRec,RgPt%
New Jersey Devils*,82,48,27,7,103,.628,222,191,0.31,-0.07,.579,42,40-27-15,.579
Pittsburgh Penguins*,82,47,28,7,101,.616,257,237,0.17,-0.07,.537,39,33-28-21,.530
Philadelphia Flyers*,82,41,35,6,88,.537,236,225,0.08,-0.06,.494,37,35-35-12,.500
New York Rangers,82,38,33,11,87,.530,222,218,0.00,-0.05,.470,35,34-33-15,.506
New York Islanders,82,34,37,11,79,.482,222,264,-0.53,-0.02,.402,26,20-37-25,.396
Buffalo Sabres*,Northeast Division,82,45,27,10,100,.610,235,207,0.26,-0.08,.561,41,35-27-20
Ottawa Senators*,.549,82,44,32,6,94,.573,225,238,-0.22,-0.06,.537,39,34-32-16
Boston Bruins*,.512,82,39,30,13,91,.555,206,200,0.01,-0.06,.470,29,25-30-27
Montreal Canadiens*,.470,82,39,33,10,88,.537,217,223,-0.14,-0.07,.463,32,24-33-25
Toronto Maple Leafs,.445,82,30,38,14,74,.451,214,267,-0.68,-0.03,.366,26,21-38-23
Washington Capitals*,.396,Southeast Division,82,54,15,13,121,.738,318,233,0.90,-0.14,.665,49
Atlanta Thrashers,43-15-24,.671,82,35,34,13,83,.506,234,256,-0.33,-0.06,.439,31
Carolina Hurricanes,29-34-19,.470,82,35,37,10,80,.488,230,256,-0.37,-0.05,.433,31
Tampa Bay Lightning,26-37-19,.433,82,34,36,12,80,.488,217,260,-0.56,-0.03,.433,30
Florida Panthers,25-36-21,.433,82,32,37,13,77,.470,208,244,-0.47,-0.03,.415,26
Chicago Blackhawks*,82,52,22,8,112,.683,271,209,0.77,0.02,.616,43,37-22-23,.591
Detroit Red Wings*,82,44,24,14,102,.622,229,216,0.23,0.07,.555,38,33-24-25,.555
Nashville Predators*,82,47,29,6,100,.610,225,225,0.06,0.06,.549,39,33-29-20,.524
St. Louis Blues,82,40,32,10,90,.549,225,223,0.08,0.06,.476,33,30-32-20,.488
Columbus Blue Jackets,82,32,35,15,79,.482,216,259,-0.42,0.11,.439,30,27-35-20,.451
Vancouver Canucks*,Northwest Division,82,49,28,5,103,.628,272,222,0.60,-0.01,.598,45,41-28-13
Colorado Avalanche*,.579,82,43,30,9,95,.579,244,233,0.16,0.02,.512,36,34-30-18
Calgary Flames,.524,82,40,32,10,90,.549,204,210,-0.03,0.04,.512,37,35-32-15
Minnesota Wild,.518,82,38,36,8,84,.512,219,246,-0.26,0.07,.476,33,28-36-18
Edmonton Oilers,.451,82,27,47,8,62,.378,214,284,-0.76,0.09,.317,19,18-47-17
San Jose Sharks*,.323,82,51,20,11,113,.689,264,215,0.65,0.05,.616,44,43-20-19
Phoenix Coyotes*,.640,82,50,25,7,107,.652,225,202,0.34,0.06,.561,36,31-25-26
Los Angeles Kings*,.537,82,46,27,9,101,.616,241,219,0.32,0.05,.549,36,32-27-23
Anaheim Ducks,.530,82,39,32,11,89,.543,238,251,-0.07,0.09,.494,34,31-32-19
Dallas Stars,.494,82,37,31,14,88,.537,237,254,-0.12,0.09,.470,30,28-31-23
