Team Name,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,ROW,RgRec,RgPt%
Pittsburgh Penguins*,48,36,12,0,72,.750,165,119,0.91,-0.05,.719,33,31-12-5,.698
New York Rangers*,48,26,18,4,56,.583,130,112,0.38,0.00,.542,22,18-18-12,.500
New York Islanders*,48,24,17,7,55,.573,139,139,0.03,0.03,.490,20,18-17-13,.510
Philadelphia Flyers,48,23,22,3,49,.510,133,141,-0.14,0.03,.490,22,20-22-6,.479
New Jersey Devils,48,19,19,10,48,.500,112,129,-0.31,0.04,.448,17,16-19-13,.469
Montreal Canadiens*,Northeast Division,48,29,14,5,63,.656,149,126,0.46,-0.02,.594,26,24-14-10
Boston Bruins*,.604,48,28,14,6,62,.646,131,109,0.44,-0.02,.573,24,23-14-11
Toronto Maple Leafs*,.594,48,26,17,5,57,.594,145,133,0.27,0.02,.594,26,24-17-7
Ottawa Senators*,.573,48,25,17,6,56,.583,116,104,0.27,0.02,.521,21,19-17-12
Buffalo Sabres,.521,48,21,21,6,48,.500,125,143,-0.31,0.07,.406,14,13-21-14
Washington Capitals*,.417,Southeast Division,48,27,18,3,57,.594,149,130,0.31,-0.09,.531,24
Winnipeg Jets,20-18-10,.521,48,24,21,3,51,.531,128,144,-0.36,-0.03,.510,22
Carolina Hurricanes,18-21-9,.469,48,19,25,4,42,.438,128,160,-0.65,0.02,.396,18
Tampa Bay Lightning,17-25-6,.417,48,18,26,4,40,.417,148,150,-0.11,-0.07,.396,17
Florida Panthers,16-26-6,.396,48,15,27,6,36,.375,112,171,-1.18,0.05,.292,12
Chicago Blackhawks*,48,36,7,5,77,.802,155,102,1.04,-0.07,.740,30,25-7-16,.688
St. Louis Blues*,48,29,17,2,60,.625,129,115,0.31,0.02,.563,24,20-17-11,.531
Detroit Red Wings*,48,24,16,8,56,.583,124,115,0.20,0.01,.531,22,20-16-12,.542
Columbus Blue Jackets,48,24,17,7,55,.573,120,119,0.03,0.01,.490,19,14-17-17,.469
Nashville Predators,48,16,23,9,41,.427,111,139,-0.50,0.09,.375,14,11-23-14,.375
Vancouver Canucks*,Northwest Division,48,26,15,7,59,.615,127,121,0.07,-0.06,.552,21,20-15-13
Minnesota Wild*,.552,48,26,19,3,55,.573,122,127,-0.16,-0.05,.521,22,19-19-10
Edmonton Oilers,.500,48,19,22,7,45,.469,125,134,-0.22,-0.03,.406,17,15-22-11
Calgary Flames,.427,48,19,25,4,42,.438,128,160,-0.65,0.02,.427,19,17-25-6
Colorado Avalanche,.417,48,16,25,7,39,.406,116,152,-0.73,0.02,.333,14,11-25-12
Anaheim Ducks*,.354,48,30,12,6,66,.688,140,118,0.43,-0.02,.594,24,23-12-13
Los Angeles Kings*,.615,48,27,16,5,59,.615,133,118,0.29,-0.02,.583,25,24-16-8
San Jose Sharks*,.583,48,25,16,7,57,.594,124,116,0.17,0.01,.479,17,17-16-15
Phoenix Coyotes,.510,48,21,18,9,51,.531,125,131,-0.10,0.03,.458,17,16-18-14
Dallas Stars,.479,48,22,22,4,48,.500,130,142,-0.21,0.05,.448,20,18-22-8
